xm,xm-1,xm-2,y1-m,y2-m,y3-m,y4-m,y5-m
0.3656734,-0.00894335,0.0022,-0.000356882,0.018439716,0.279430142,-0.008806147,-0.058806447
0.09843208,0.3656734,-0.00894335,-0.001422908,0.038439716,0.413910142,-0.017506147,0.034178018
0.13088993,0.09843208,0.3656734,-0.002357278,0.068439716,-0.245349858,-0.022606147,-0.072953597
-0.15838381,0.13088993,0.09843208,0.000177442,0.048439716,0.113480142,0.000293853,0.027977637
-0.21708534,-0.15838381,0.13088993,0.000969335,0.038439716,-0.324789858,0.052693853,-0.068105586
-0.08480619,-0.21708534,-0.15838381,-0.000494321,0.068439716,-1.005699858,0.044493853,0.044205474
0.24791832,-0.08480619,-0.21708534,0.002533266,0.068439716,-0.111909858,0.014393853,0.001899894
0.7523672,0.24791832,-0.08480619,0.000284503,0.038439716,-0.188339858,-0.033706147,0.013402778
0.6658857,0.7523672,0.24791832,0.000496939,0.058439716,0.273140142,0.020393853,0.093344623
1.0123882,0.6658857,0.7523672,0.000577189,0.098439716,0.178440142,0.089993853,0.106810961
1.6533183,1.0123882,0.6658857,-0.000292256,0.098439716,0.847770142,0.040593853,-0.017579562
2.4936116,1.6533183,1.0123882,0.003993273,0.138439716,0.153010142,-0.075706147,0.018738937
2.4739305,2.4936116,1.6533183,-0.000730118,0.158439716,0.932830142,0.050493853,0.058706486
3.059563,2.4739305,2.4936116,-0.001156524,0.198439716,-0.098379858,0.082393853,0.037787213
3.5327963,3.059563,2.4739305,-0.00158293,0.188439716,-0.342099858,-0.112806147,0.035822098
3.2807301,3.5327963,3.059563,0.00012144,0.178439716,-0.881959858,0.129993853,-0.053430774
3.8078602,3.2807301,3.5327963,0.000117691,0.148439716,-0.126539858,-0.067306147,0.049968048
3.6317635,3.8078602,3.2807301,0.000958894,0.178439716,0.138100142,-0.024706147,-0.269236973
3.7184753,3.6317635,3.8078602,0.00094864,0.148439716,0.998970142,0.124493853,-0.084219151
4.3497383,3.7184753,3.6317635,-0.001576741,0.128439716,0.995460142,-0.053606147,0.09445926
4.2823331,4.3497383,3.7184753,-0.001156524,0.168439716,-0.944299858,-0.080006147,0.042047708
3.6793308,4.2823331,4.3497383,0.000521911,0.128439716,-0.431259858,0.050493853,-0.007708739
3.5921274,3.6793308,4.2823331,0.000515449,0.148439716,0.344690142,0.000693853,-0.033330827
3.655595,3.5921274,3.6793308,0.005878414,0.148439716,0.508560142,-0.065706147,0.037137584
3.4407038,3.655595,3.5921274,0.000482325,0.178439716,0.277280142,0.039893853,-0.014063238
3.6023191,3.4407038,3.655595,0.000476164,0.188439716,-0.938599858,-0.017706147,0.035628976
3.2668917,3.6023191,3.4407038,-0.000749309,0.168439716,-1.628739858,-0.003106147,0.00031791
