xm,xm-1,xm-2,y1-m,y2-m,y3-m,y4-m,y5-m
0.031126147,-0.009403853,-0.002573853,-0.000572463,-0.011560284,0.911740142,-0.109506147,0.084757512
0.064356147,0.031126147,-0.009403853,0.003043476,0.018439716,1.169870142,0.024093853,0.000134892
0.047096147,0.064356147,0.031126147,-0.000356882,0.018439716,0.279430142,-0.008806147,-0.058806447
0.041226147,0.047096147,0.064356147,-0.001422908,0.038439716,0.413910142,-0.017506147,0.034178018
0.031666147,0.041226147,0.047096147,-0.002357278,0.068439716,-0.245349858,-0.022606147,-0.072953597
0.039116147,0.031666147,0.041226147,0.000177442,0.048439716,0.113480142,0.000293853,0.027977637
0.068466147,0.039116147,0.031666147,0.000969335,0.038439716,-0.324789858,0.052693853,-0.068105586
0.145126147,0.068466147,0.039116147,-0.000494321,0.068439716,-1.005699858,0.044493853,0.044205474
0.245226147,0.145126147,0.068466147,0.002533266,0.068439716,-0.111909858,0.014393853,0.001899894
0.350926147,0.245226147,0.145126147,0.000284503,0.038439716,-0.188339858,-0.033706147,0.013402778
0.471326147,0.350926147,0.245226147,0.000496939,0.058439716,0.273140142,0.020393853,0.093344623
0.402626147,0.471326147,0.350926147,0.000577189,0.098439716,0.178440142,0.089993853,0.106810961
0.416026147,0.402626147,0.471326147,-0.000292256,0.098439716,0.847770142,0.040593853,-0.017579562
0.403226147,0.416026147,0.402626147,0.003993273,0.138439716,0.153010142,-0.075706147,0.018738937
0.333626147,0.403226147,0.416026147,-0.000730118,0.158439716,0.932830142,0.050493853,0.058706486
0.193326147,0.333626147,0.403226147,-0.001156524,0.198439716,-0.098379858,0.082393853,0.037787213
0.013726147,0.193326147,0.333626147,-0.00158293,0.188439716,-0.342099858,-0.112806147,0.035822098
-0.142473853,0.013726147,0.193326147,0.00012144,0.178439716,-0.881959858,0.129993853,-0.053430774
-0.255573853,-0.142473853,0.013726147,0.000117691,0.148439716,-0.126539858,-0.067306147,0.049968048
-0.338373853,-0.255573853,-0.142473853,0.000958894,0.178439716,0.138100142,-0.024706147,-0.269236973
