x,x_t-1,x_t-2,Y_1t Retail prices index,Y_2t Consumer survey - confidence indicator,Y_3t IBA GBP IBK. LIBOR 3M DELAYED  Inverted,Y_4t Manufacturing survey - production: future tendency,Y_5t FSTE uk stock,Y_1t-1,Y_2t-1,Y_3t-1,Y_4t-1,Y_5t-1,Y_5t-1,Y_1t-6,Y_1t-7,Y_1t-8,Y_1t-9
0.0337,-0.00683,0,0.001344851,0.03,0.0000880,-0.109,0.084476985,0.001344851,0.03,0.0000880,-0.109,0.084476985,0,0,0.0000000,0,0
0.06693,0.0337,-0.00683,0.009670857,0.03,0.0001098,0.0246,0.003518981,0.009670857,0.03,0.0001098,0.0246,0.003518981,0.001344851,0.03,0.0000880,-0.109,0.084476985
0.04967,0.06693,0.0337,0.001841244,0,-0.0000299,-0.0083,-0.057010828,0.001841244,0,-0.0000299,-0.0083,-0.057010828,0.009670857,0.03,0.0001098,0.0246,0.003518981
0.0438,0.04967,0.06693,-0.000613372,0.02,0.0000424,-0.017,0.036879808,-0.000613372,0.02,0.0000424,-0.017,0.036879808,0.001841244,0,-0.0000299,-0.0083,-0.057010828
0.03424,0.0438,0.04967,-0.002764837,0.03,-0.0000063,-0.0221,-0.072101243,-0.002764837,0.03,-0.0000063,-0.0221,-0.072101243,-0.000613372,0.02,0.0000424,-0.017,0.036879808
0.04169,0.03424,0.0438,0.00307157,-0.02,0.0000207,0.0008,0.030886003,0.00307157,-0.02,0.0000207,0.0008,0.030886003,-0.002764837,0.03,-0.0000063,-0.0221,-0.072101243
0.07104,0.04169,0.03424,0.004894972,-0.01,-0.0000540,0.0532,-0.066904302,0.004894972,-0.01,-0.0000540,0.0532,-0.066904302,0.00307157,-0.02,0.0000207,0.0008,0.030886003
0.1477,0.07104,0.04169,0.001524778,0.03,-0.0001077,0.045,0.046497788,0.001524778,0.03,-0.0001077,0.045,0.046497788,0.004894972,-0.01,-0.0000540,0.0532,-0.066904302
0.2478,0.1477,0.07104,0.008496056,0,0.0000201,0.0149,0.005276238,0.008496056,0,0.0000201,0.0149,0.005276238,0.001524778,0.03,-0.0001077,0.045,0.046497788
0.3535,0.2478,0.1477,0.003318087,-0.03,-0.0000036,-0.0332,0.016653622,0.003318087,-0.03,-0.0000036,-0.0332,0.016653622,0.008496056,0,0.0000201,0.0149,0.005276238
0.4739,0.3535,0.2478,0.003807238,0.02,0.0000336,0.0209,0.092337503,0.003807238,0.02,0.0000336,0.0209,0.092337503,0.003318087,-0.03,-0.0000036,-0.0332,0.016653622
0.4052,0.4739,0.3535,0.003992021,0.04,0.0000280,0.0905,0.104541304,0.003992021,0.04,0.0000280,0.0905,0.104541304,0.003807238,0.02,0.0000336,0.0209,0.092337503
0.4186,0.4052,0.4739,0.00199005,0,0.0000952,0.0411,-0.014290904,0.00199005,0,0.0000952,0.0411,-0.014290904,0.003992021,0.04,0.0000280,0.0905,0.104541304
0.4058,0.4186,0.4052,0.011857846,0.04,-0.0000196,-0.0752,0.021887927,0.011857846,0.04,-0.0000196,-0.0752,0.021887927,0.00199005,0,0.0000952,0.0411,-0.014290904
0.3362,0.4058,0.4186,0.000981836,0.02,0.0001364,0.051,0.060245043,0.000981836,0.02,0.0001364,0.051,0.060245043,0.011857846,0.04,-0.0000196,-0.0752,0.021887927
0.1959,0.3362,0.4058,0,0.04,-0.0000379,0.0829,0.040352285,0,0.04,-0.0000379,0.0829,0.040352285,0.000981836,0.02,0.0001364,0.051,0.060245043
0.0163,0.1959,0.3362,-0.000981836,-0.01,-0.0000152,-0.1123,0.038463105,-0.000981836,-0.01,-0.0000152,-0.1123,0.038463105,0,0.04,-0.0000379,0.0829,0.040352285
-0.1399,0.0163,0.1959,0.002942621,-0.01,-0.0001203,0.1305,-0.051335912,0.002942621,-0.01,-0.0001203,0.1305,-0.051335912,-0.000981836,-0.01,-0.0000152,-0.1123,0.038463105
-0.253,-0.1399,0.0163,0.002933987,-0.03,0.0000182,-0.0668,0.051983476,0.002933987,-0.03,0.0000182,-0.0668,0.051983476,0.002942621,-0.01,-0.0001203,0.1305,-0.051335912
-0.3358,-0.253,-0.1399,0.00487093,0.03,-0.0000241,-0.0242,-0.309037396,0.00487093,0.03,-0.0000241,-0.0242,-0.309037396,0.002933987,-0.03,0.0000182,-0.0668,0.051983476
-0.3548,-0.3358,-0.253,0.004847319,-0.03,0.0001414,0.125,-0.084282953,0.004847319,-0.03,0.0001414,0.125,-0.084282953,0.00487093,0.03,-0.0000241,-0.0242,-0.309037396
-0.3213,-0.3548,-0.3358,-0.000967586,-0.02,0.0001197,-0.0531,0.09335331,-0.000967586,-0.02,0.0001197,-0.0531,0.09335331,0.004847319,-0.03,0.0001414,0.125,-0.084282953
-0.2496,-0.3213,-0.3548,0,0.04,-0.0001119,-0.0795,0.044435933,0,0.04,-0.0001119,-0.0795,0.044435933,-0.000967586,-0.02,0.0001197,-0.0531,0.09335331
-0.1643,-0.2496,-0.3213,0.003864739,-0.04,-0.0000522,0.051,-0.004327802,0.003864739,-0.04,-0.0000522,0.051,-0.004327802,0,0.04,-0.0001119,-0.0795,0.044435933
-0.0731,-0.1643,-0.2496,0.00384986,0.02,0.0000844,0.0012,-0.030397909,0.00384986,0.02,0.0000844,0.0012,-0.030397909,0.003864739,-0.04,-0.0000522,0.051,-0.004327802
0.0087,-0.0731,-0.1643,0.016198544,0,0.0000797,-0.0652,0.039728154,0.016198544,0,0.0000797,-0.0652,0.039728154,0.00384986,0.02,0.0000844,0.0012,-0.030397909
0.0406,0.0087,-0.0731,0.003773589,0.03,0.0000596,0.0404,-0.010730315,0.003773589,0.03,0.0000596,0.0404,-0.010730315,0.016198544,0,0.0000797,-0.0652,0.039728154
0.005,0.0406,0.0087,0.003759403,0.01,-0.0002092,-0.0172,0.038277253,0.003759403,0.01,-0.0002092,-0.0172,0.038277253,0.003773589,0.03,0.0000596,0.0404,-0.010730315
-0.0489,0.005,0.0406,0.000937647,-0.02,-0.0001655,-0.0026,0.00370134,0.000937647,-0.02,-0.0001655,-0.0026,0.00370134,0.003759403,0.01,-0.0002092,-0.0172,0.038277253
-0.1042,-0.0489,0.005,0.011183714,-0.05,-0.0000413,0.0403,-0.054739174,0.011183714,-0.05,-0.0000413,0.0403,-0.054739174,0.000937647,-0.02,-0.0001655,-0.0026,0.00370134
-0.1554,-0.1042,-0.0489,0.004623217,-0.04,-0.0000580,-0.0068,0.04651034,0.004623217,-0.04,-0.0000580,-0.0068,0.04651034,0.011183714,-0.05,-0.0000413,0.0403,-0.054739174
-0.1702,-0.1554,-0.1042,0.01009646,-0.03,0.0000170,-0.0434,0.016923378,0.01009646,-0.03,0.0000170,-0.0434,0.016923378,0.004623217,-0.04,-0.0000580,-0.0068,0.04651034
-0.1318,-0.1702,-0.1554,0.004555817,0.02,-0.0000170,0.0252,-0.029532166,0.004555817,0.02,-0.0000170,0.0252,-0.029532166,0.01009646,-0.03,0.0000170,-0.0434,0.016923378
-0.0829,-0.1318,-0.1702,0.00272356,-0.09,-0.0000471,0.0169,-0.001853569,0.00272356,-0.09,-0.0000471,0.0169,-0.001853569,0.004555817,0.02,-0.0000170,0.0252,-0.029532166
-0.0249,-0.0829,-0.1318,0.006326275,-0.01,-0.0000073,-0.1199,0.140242827,0.006326275,-0.01,-0.0000073,-0.1199,0.140242827,0.00272356,-0.09,-0.0000471,0.0169,-0.001853569
0.0132,-0.0249,-0.0829,0.007181359,0.02,0.0000073,0.0316,-0.014679604,0.007181359,0.02,0.0000073,0.0316,-0.014679604,0.006326275,-0.01,-0.0000073,-0.1199,0.140242827
0.0234,0.0132,-0.0249,0.004462301,-0.05,-0.0000082,-0.0487,0.034489258,0.004462301,-0.05,-0.0000082,-0.0487,0.034489258,0.007181359,0.02,0.0000073,0.0316,-0.014679604
0.0422,0.0234,0.0132,0.017652709,-0.01,0.0000082,-0.0855,0.024579788,0.017652709,-0.01,0.0000082,-0.0855,0.024579788,0.004462301,-0.05,-0.0000082,-0.0487,0.034489258
0.0137,0.0422,0.0234,0.006105558,0.05,0.0000065,0.0499,0.003023305,0.006105558,0.05,0.0000065,0.0499,0.003023305,0.017652709,-0.01,0.0000082,-0.0855,0.024579788
-0.0478,0.0137,0.0422,0.003472226,-0.05,-0.0000646,-0.0271,0.016270626,0.003472226,-0.05,-0.0000646,-0.0271,0.016270626,0.006105558,0.05,0.0000065,0.0499,0.003023305
-0.0987,-0.0478,0.0137,0.000866176,-0.01,0.0000032,0.0371,0.069063851,0.000866176,-0.01,0.0000032,0.0371,0.069063851,0.003472226,-0.05,-0.0000646,-0.0271,0.016270626
-0.1503,-0.0987,-0.0478,0.002594035,0.03,0.0000097,-0.0298,0.033681874,0.002594035,0.03,0.0000097,-0.0298,0.033681874,0.000866176,-0.01,0.0000032,0.0371,0.069063851
