CLI,CLI_t-1,CLI_t-2,y1,y1_t-1,y1_t-2,y2,y2_t-1,y2_t-2,y3,y3_t-1,y3_t-2,y4,y4_t-1,y4_t-2,y5,y5_t-1,y5_t-2
0.03,-0.01,-0.03,0.013407707,0.056312277,0.116966524,1.441,1.4274,1.3703,-0.94196,-0.14425,-9.9476E-14,-0.0366,0.0755,-0.0973,0.091914985,0.05737258,0.006659005
0.07,0.03,-0.01,-0.003548924,0.013407707,0.056312277,1.4374,1.441,1.4274,-1.20009,-0.94196,-0.14425,-0.0364,-0.0366,0.0755,0.031545992,0.091914985,0.05737258
0.05,0.07,0.03,-0.011140496,-0.003548924,0.013407707,1.4261,1.4374,1.441,-0.30965,-1.20009,-0.94196,0.0147,-0.0364,-0.0366,-0.038103657,0.031545992,0.091914985
0.04,0.05,0.07,0.005521109,-0.011140496,-0.003548924,1.4317,1.4261,1.4374,-0.44413,-0.30965,-1.20009,-0.0338,0.0147,-0.0364,0.003044379,-0.038103657,0.031545992
0.04,0.04,0.05,-0.033427091,0.005521109,-0.011140496,1.3978,1.4317,1.4261,0.21513,-0.44413,-0.30965,-0.0003,-0.0338,0.0147,-0.009007984,0.003044379,-0.038103657
0.04,0.04,0.04,-0.054651225,-0.033427091,0.005521109,1.3424,1.3978,1.4317,-0.1437,0.21513,-0.44413,0.0095,-0.0003,-0.0338,-0.006717015,-0.009007984,0.003044379
0.07,0.04,0.04,-0.042241984,-0.054651225,-0.033427091,1.2996,1.3424,1.3978,0.29457,-0.1437,0.21513,0.0294,0.0095,-0.0003,0.024647135,-0.006717015,-0.009007984
0.14,0.07,0.04,-0.01036583,-0.042241984,-0.054651225,1.2891,1.2996,1.3424,0.97548,0.29457,-0.1437,0.0341,0.0294,0.0095,-0.019485567,0.024647135,-0.006717015
0.25,0.14,0.07,-0.067453495,-0.01036583,-0.042241984,1.2208,1.2891,1.2996,0.08169,0.97548,0.29457,0.0295,0.0341,0.0294,0.027331464,-0.019485567,0.024647135
0.35,0.25,0.14,-0.069377395,-0.067453495,-0.01036583,1.1506,1.2208,1.2891,0.15812,0.08169,0.97548,-0.0016,0.0295,0.0341,0.001270077,0.027331464,-0.019485567
0.47,0.35,0.25,-0.013347327,-0.069377395,-0.067453495,1.1371,1.1506,1.2208,-0.30336,0.15812,0.08169,-0.0141,-0.0016,0.0295,0.075888641,0.001270077,0.027331464
0.4,0.47,0.35,0.032425967,-0.013347327,-0.069377395,1.1699,1.1371,1.1506,-0.20866,-0.30336,0.15812,0.0857,-0.0141,-0.0016,0.085015108,0.075888641,0.001270077
0.42,0.4,0.47,0.052472198,0.032425967,-0.013347327,1.223,1.1699,1.1371,-0.87799,-0.20866,-0.30336,0.0136,0.0857,-0.0141,0.048986624,0.085015108,0.075888641
0.41,0.42,0.4,0.057677761,0.052472198,0.032425967,1.2814,1.223,1.1699,-0.18323,-0.87799,-0.20866,-0.0132,0.0136,0.0857,-0.017279858,0.048986624,0.085015108
0.34,0.41,0.42,0.032281073,0.057677761,0.052472198,1.3141,1.2814,1.223,-0.96305,-0.18323,-0.87799,0.0513,-0.0132,0.0136,0.089585586,-0.017279858,0.048986624
0.2,0.34,0.41,0.050523143,0.032281073,0.057677761,1.3653,1.3141,1.2814,0.06816,-0.96305,-0.18323,0.0094,0.0513,-0.0132,0.054493127,0.089585586,-0.017279858
0.03,0.2,0.34,0.064892673,0.050523143,0.032281073,1.4311,1.3653,1.3141,0.31188,0.06816,-0.96305,-0.0205,0.0094,0.0513,0.044542293,0.054493127,0.089585586
-0.13,0.03,0.2,0.033219006,0.064892673,0.050523143,1.4648,1.4311,1.3653,0.85174,0.31188,0.06816,0.0561,-0.0205,0.0094,-0.046607509,0.044542293,0.054493127
-0.25,-0.13,0.03,-0.033711952,0.033219006,0.064892673,1.4306,1.4648,1.4311,0.09632,0.85174,0.31188,-0.0372,0.0561,-0.0205,0.019726299,-0.046607509,0.044542293
-0.32,-0.25,-0.13,-0.117193062,-0.033711952,0.033219006,1.3118,1.4306,1.4648,-0.16832,0.09632,0.85174,0.0477,-0.0372,0.0561,-0.091148208,0.019726299,-0.046607509
-0.34,-0.32,-0.25,-0.1127849,-0.117193062,-0.033711952,1.1976,1.3118,1.4306,-1.02919,-0.16832,0.09632,0.0262,0.0477,-0.0372,-0.212378108,-0.091148208,0.019726299
-0.32,-0.34,-0.32,0.041790677,-0.1127849,-0.117193062,1.2399,1.1976,1.3118,-1.02568,-1.02919,-0.16832,-0.0316,0.0262,0.0477,0.016872792,-0.212378108,-0.091148208
-0.24,-0.32,-0.34,0.125267345,0.041790677,-0.1127849,1.3668,1.2399,1.1976,0.91408,-1.02568,-1.02919,0.0024,-0.0316,0.0262,0.055200476,0.016872792,-0.212378108
-0.16,-0.24,-0.32,0.114370462,0.125267345,0.041790677,1.4828,1.3668,1.2399,0.40104,0.91408,-1.02568,0.0061,0.0024,-0.0316,-0.011755544,0.055200476,0.016872792
