CLI,CLI_t-1,CLI_t-2,y0,y1,y2,y4,y0_t-1,y1_t-1,y2_t-1,y4_t-1,y0_t-2,y1_t-2,y2_t-2,y4_t-2
0.03,-0.01,-0.03,0.35781246,0.013407707,1.441,-0.0366,0.379469006,0.056312277,1.4274,0.0755,0.401125552,0.116966524,1.3703,-0.0973
0.07,0.03,-0.01,0.336155914,-0.003548924,1.4374,-0.0364,0.35781246,0.013407707,1.441,-0.0366,0.379469006,0.056312277,1.4274,0.0755
0.05,0.07,0.03,0.233148561,-0.011140496,1.4261,0.0147,0.336155914,-0.003548924,1.4374,-0.0364,0.35781246,0.013407707,1.441,-0.0366
0.04,0.05,0.07,0.130141208,0.005521109,1.4317,-0.0338,0.233148561,-0.011140496,1.4261,0.0147,0.336155914,-0.003548924,1.4374,-0.0364
0.04,0.04,0.05,0.027133855,-0.033427091,1.3978,-0.0003,0.130141208,0.005521109,1.4317,-0.0338,0.233148561,-0.011140496,1.4261,0.0147
0.04,0.04,0.04,0.313075329,-0.054651225,1.3424,0.0095,0.027133855,-0.033427091,1.3978,-0.0003,0.130141208,0.005521109,1.4317,-0.0338
0.07,0.04,0.04,0.599016803,-0.042241984,1.2996,0.0294,0.313075329,-0.054651225,1.3424,0.0095,0.027133855,-0.033427091,1.3978,-0.0003
0.14,0.07,0.04,0.884958277,-0.01036583,1.2891,0.0341,0.599016803,-0.042241984,1.2996,0.0294,0.313075329,-0.054651225,1.3424,0.0095
0.25,0.14,0.07,0.604743628,-0.067453495,1.2208,0.0295,0.884958277,-0.01036583,1.2891,0.0341,0.599016803,-0.042241984,1.2996,0.0294
0.35,0.25,0.14,0.324528979,-0.069377395,1.1506,-0.0016,0.604743628,-0.067453495,1.2208,0.0295,0.884958277,-0.01036583,1.2891,0.0341
0.47,0.35,0.25,0.04431433,-0.013347327,1.1371,-0.0141,0.324528979,-0.069377395,1.1506,-0.0016,0.604743628,-0.067453495,1.2208,0.0295
0.4,0.47,0.35,0.189392439,0.032425967,1.1699,0.0857,0.04431433,-0.013347327,1.1371,-0.0141,0.324528979,-0.069377395,1.1506,-0.0016
0.42,0.4,0.47,0.334470548,0.052472198,1.223,0.0136,0.189392439,0.032425967,1.1699,0.0857,0.04431433,-0.013347327,1.1371,-0.0141
0.41,0.42,0.4,0.479548658,0.057677761,1.2814,-0.0132,0.334470548,0.052472198,1.223,0.0136,0.189392439,0.032425967,1.1699,0.0857
0.34,0.41,0.42,0.670642287,0.032281073,1.3141,0.0513,0.479548658,0.057677761,1.2814,-0.0132,0.334470548,0.052472198,1.223,0.0136
0.2,0.34,0.41,0.861735916,0.050523143,1.3653,0.0094,0.670642287,0.032281073,1.3141,0.0513,0.479548658,0.057677761,1.2814,-0.0132
0.03,0.2,0.34,1.052829546,0.064892673,1.4311,-0.0205,0.861735916,0.050523143,1.3653,0.0094,0.670642287,0.032281073,1.3141,0.0513
-0.13,0.03,0.2,0.750056696,0.033219006,1.4648,0.0561,1.052829546,0.064892673,1.4311,-0.0205,0.861735916,0.050523143,1.3653,0.0094
-0.25,-0.13,0.03,0.447283847,-0.033711952,1.4306,-0.0372,0.750056696,0.033219006,1.4648,0.0561,1.052829546,0.064892673,1.4311,-0.0205
-0.32,-0.25,-0.13,0.144510998,-0.117193062,1.3118,0.0477,0.447283847,-0.033711952,1.4306,-0.0372,0.750056696,0.033219006,1.4648,0.0561
-0.34,-0.32,-0.25,0.341588404,-0.1127849,1.1976,0.0262,0.144510998,-0.117193062,1.3118,0.0477,0.447283847,-0.033711952,1.4306,-0.0372
-0.32,-0.34,-0.32,0.53866581,0.041790677,1.2399,-0.0316,0.341588404,-0.1127849,1.1976,0.0262,0.144510998,-0.117193062,1.3118,0.0477
-0.24,-0.32,-0.34,0.735743216,0.125267345,1.3668,0.0024,0.53866581,0.041790677,1.2399,-0.0316,0.341588404,-0.1127849,1.1976,0.0262
-0.16,-0.24,-0.32,0.477398386,0.114370462,1.4828,0.0061,0.735743216,0.125267345,1.3668,0.0024,0.53866581,0.041790677,1.2399,-0.0316
-0.07,-0.16,-0.24,0.219053557,0.079390803,1.5634,-0.013,0.477398386,0.114370462,1.4828,0.0061,0.735743216,0.125267345,1.3668,0.0024
0.01,-0.07,-0.16,-0.039291273,0.03071501,1.5946,-0.0301,0.219053557,0.079390803,1.5634,-0.013,0.477398386,0.114370462,1.4828,0.0061
0.04,0.01,-0.07,0.165769262,0.035527073,1.6307,0.0412,-0.039291273,0.03071501,1.5946,-0.0301,0.219053557,0.079390803,1.5634,-0.013
0,0.04,0.01,0.370829797,0.03010448,1.6613,-0.0374,0.165769262,0.035527073,1.6307,0.0412,-0.039291273,0.03071501,1.5946,-0.0301
-0.06,0,0.04,0.575890331,0.045139735,1.7072,0.0094,0.370829797,0.03010448,1.6613,-0.0374,0.165769262,0.035527073,1.6307,0.0412
-0.1,-0.06,0,0.46019762,0.084226008,1.7929,0.0159,0.575890331,0.045139735,1.7072,0.0094,0.370829797,0.03010448,1.6613,-0.0374
-0.16,-0.1,-0.06,0.344504909,0.045866942,1.8396,-0.0037,0.46019762,0.084226008,1.7929,0.0159,0.575890331,0.045139735,1.7072,0.0094
-0.17,-0.16,-0.1,0.228812198,-0.013551639,1.8258,-0.0121,0.344504909,0.045866942,1.8396,-0.0037,0.46019762,0.084226008,1.7929,0.0159
-0.13,-0.17,-0.16,0.198292041,-0.038013309,1.7871,-0.017,0.228812198,-0.013551639,1.8258,-0.0121,0.344504909,0.045866942,1.8396,-0.0037
-0.09,-0.13,-0.17,0.167771885,-0.042647109,1.7437,0.0151,0.198292041,-0.038013309,1.7871,-0.017,0.228812198,-0.013551639,1.8258,-0.0121
-0.02,-0.09,-0.13,0.137251728,-0.025361051,1.7179,-0.0712,0.167771885,-0.042647109,1.7437,0.0151,0.198292041,-0.038013309,1.7871,-0.017
0.01,-0.02,-0.09,0.172915183,-0.110661209,1.6054,-0.0135,0.137251728,-0.025361051,1.7179,-0.0712,0.167771885,-0.042647109,1.7437,0.0151
0.02,0.01,-0.02,0.208578638,-0.171298954,1.4315,-0.0196,0.172915183,-0.110661209,1.6054,-0.0135,0.137251728,-0.025361051,1.7179,-0.0712
0.03,0.02,0.01,0.244242093,-0.157471491,1.2719,-0.0403,0.208578638,-0.171298954,1.4315,-0.0196,0.172915183,-0.110661209,1.6054,-0.0135
0.02,0.03,0.02,0.180360838,-0.083374746,1.1875,-0.0022,0.244242093,-0.157471491,1.2719,-0.0403,0.208578638,-0.171298954,1.4315,-0.0196
-0.05,0.02,0.03,0.116479583,0.003755334,1.1913,-0.0143,0.180360838,-0.083374746,1.1875,-0.0022,0.244242093,-0.157471491,1.2719,-0.0403
-0.1,-0.05,0.02,0.052598328,0.075077081,1.2673,0.0293,0.116479583,0.003755334,1.1913,-0.0143,0.180360838,-0.083374746,1.1875,-0.0022
-0.15,-0.1,-0.05,0.020370835,0.096924099,1.3655,-0.0241,0.052598328,0.075077081,1.2673,0.0293,0.116479583,0.003755334,1.1913,-0.0143
-0.2,-0.15,-0.1,-0.011856659,0.108459346,1.4755,-0.0437,0.020370835,0.096924099,1.3655,-0.0241,0.052598328,0.075077081,1.2673,0.0293
