CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y6,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y6_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2,y6_t-2
0.03,-0.01,-0.03,0.014680836,0.013407707,1.441,-0.94196,-0.0366,0.087933022,-0.019562097,0.056312277,1.4274,-0.14425,0.0755,0.055787133,-0.031109834,0.116966524,1.3703,-9.9476E-14,-0.0973,0.006636931
0.07,0.03,-0.01,0.064742335,-0.003548924,1.4374,-1.20009,-0.0364,0.03105864,0.014680836,0.013407707,1.441,-0.94196,-0.0366,0.087933022,-0.019562097,0.056312277,1.4274,-0.14425,0.0755,0.055787133
0.05,0.07,0.03,0.05635061,-0.011140496,1.4261,-0.30965,0.0147,-0.038848585,0.064742335,-0.003548924,1.4374,-1.20009,-0.0364,0.03105864,0.014680836,0.013407707,1.441,-0.94196,-0.0366,0.087933022
0.04,0.05,0.07,0.039492604,0.005521109,1.4317,-0.44413,-0.0338,0.003039754,0.05635061,-0.011140496,1.4261,-0.30965,0.0147,-0.038848585,0.064742335,-0.003548924,1.4374,-1.20009,-0.0364,0.03105864
0.04,0.04,0.05,0.041501331,-0.033427091,1.3978,0.21513,-0.0003,-0.009048801,0.039492604,0.005521109,1.4317,-0.44413,-0.0338,0.003039754,0.05635061,-0.011140496,1.4261,-0.30965,0.0147,-0.038848585
0.04,0.04,0.04,0.041119503,-0.054651225,1.3424,-0.1437,0.0095,-0.006739676,0.041501331,-0.033427091,1.3978,0.21513,-0.0003,-0.009048801,0.039492604,0.005521109,1.4317,-0.44413,-0.0338,0.003039754
0.07,0.04,0.04,0.065892144,-0.042241984,1.2996,0.29457,0.0294,0.024348294,0.041119503,-0.054651225,1.3424,-0.1437,0.0095,-0.006739676,0.041501331,-0.033427091,1.3978,0.21513,-0.0003,-0.009048801
0.14,0.07,0.04,0.143247595,-0.01036583,1.2891,0.97548,0.0341,-0.019677913,0.065892144,-0.042241984,1.2996,0.29457,0.0294,0.024348294,0.041119503,-0.054651225,1.3424,-0.1437,0.0095,-0.006739676
0.25,0.14,0.07,0.245444756,-0.067453495,1.2208,0.08169,0.0295,0.026964629,0.143247595,-0.01036583,1.2891,0.97548,0.0341,-0.019677913,0.065892144,-0.042241984,1.2996,0.29457,0.0294,0.024348294
0.35,0.25,0.14,0.349788321,-0.069377395,1.1506,0.15812,-0.0016,0.001269271,0.245444756,-0.067453495,1.2208,0.08169,0.0295,0.026964629,0.143247595,-0.01036583,1.2891,0.97548,0.0341,-0.019677913
0.47,0.35,0.25,0.457351893,-0.013347327,1.1371,-0.30336,-0.0141,0.073146963,0.349788321,-0.069377395,1.1506,0.15812,-0.0016,0.001269271,0.245444756,-0.067453495,1.2208,0.08169,0.0295,0.026964629
0.4,0.47,0.35,0.385830815,0.032425967,1.1699,-0.20866,0.0857,0.081593911,0.457351893,-0.013347327,1.1371,-0.30336,-0.0141,0.073146963,0.349788321,-0.069377395,1.1506,0.15812,-0.0016,0.001269271
0.42,0.4,0.47,0.411835563,0.052472198,1.223,-0.87799,0.0136,0.047824579,0.385830815,0.032425967,1.1699,-0.20866,0.0857,0.081593911,0.457351893,-0.013347327,1.1371,-0.30336,-0.0141,0.073146963
0.41,0.42,0.4,0.412879976,0.057677761,1.2814,-0.18323,-0.0132,-0.017430898,0.411835563,0.052472198,1.223,-0.87799,0.0136,0.047824579,0.385830815,0.032425967,1.1699,-0.20866,0.0857,0.081593911
0.34,0.41,0.42,0.325069069,0.032281073,1.3141,-0.96305,0.0513,0.085797427,0.412879976,0.057677761,1.2814,-0.18323,-0.0132,-0.017430898,0.411835563,0.052472198,1.223,-0.87799,0.0136,0.047824579
0.2,0.34,0.41,0.190917812,0.050523143,1.3653,0.06816,0.0094,0.053060203,0.325069069,0.032281073,1.3141,-0.96305,0.0513,0.085797427,0.412879976,0.057677761,1.2814,-0.18323,-0.0132,-0.017430898
0.03,0.2,0.34,0.022576285,0.064892673,1.4311,0.31188,-0.0205,0.043578792,0.190917812,0.050523143,1.3653,0.06816,0.0094,0.053060203,0.325069069,0.032281073,1.3141,-0.96305,0.0513,0.085797427
-0.13,0.03,0.2,-0.122232082,0.033219006,1.4648,0.85174,0.0561,-0.047728613,0.022576285,0.064892673,1.4311,0.31188,-0.0205,0.043578792,0.190917812,0.050523143,1.3653,0.06816,0.0094,0.053060203
-0.25,-0.13,0.03,-0.253287717,-0.033711952,1.4306,0.09632,-0.0372,0.019534257,-0.122232082,0.033219006,1.4648,0.85174,0.0561,-0.047728613,0.022576285,0.064892673,1.4311,0.31188,-0.0205,0.043578792
-0.32,-0.25,-0.13,-0.304808632,-0.117193062,1.3118,-0.16832,0.0477,-0.095573244,-0.253287717,-0.033711952,1.4306,0.09632,-0.0372,0.019534257,-0.122232082,0.033219006,1.4648,0.85174,0.0561,-0.047728613
-0.34,-0.32,-0.25,-0.304603649,-0.1127849,1.1976,-1.02919,0.0262,-0.238737137,-0.304808632,-0.117193062,1.3118,-0.16832,0.0477,-0.095573244,-0.253287717,-0.033711952,1.4306,0.09632,-0.0372,0.019534257
-0.32,-0.34,-0.32,-0.322812132,0.041790677,1.2399,-1.02568,-0.0316,0.016732027,-0.304603649,-0.1127849,1.1976,-1.02919,0.0262,-0.238737137,-0.304808632,-0.117193062,1.3118,-0.16832,0.0477,-0.095573244
-0.24,-0.32,-0.34,-0.249200079,0.125267345,1.3668,0.91408,0.0024,0.053730774,-0.322812132,0.041790677,1.2399,-1.02568,-0.0316,0.016732027,-0.304603649,-0.1127849,1.1976,-1.02919,0.0262,-0.238737137
-0.16,-0.24,-0.32,-0.158040743,0.114370462,1.4828,0.40104,0.0061,-0.011825187,-0.249200079,0.125267345,1.3668,0.91408,0.0024,0.053730774,-0.322812132,0.041790677,1.2399,-1.02568,-0.0316,0.016732027
-0.07,-0.16,-0.24,-0.075817105,0.079390803,1.5634,-0.37491,-0.013,0.034307346,-0.158040743,0.114370462,1.4828,0.40104,0.0061,-0.011825187,-0.249200079,0.125267345,1.3668,0.91408,0.0024,0.053730774
0.01,-0.07,-0.16,0.011932362,0.03071501,1.5946,-0.53878,-0.0301,-0.011661911,-0.075817105,0.079390803,1.5634,-0.37491,-0.013,0.034307346,-0.158040743,0.114370462,1.4828,0.40104,0.0061,-0.011825187
0.04,0.01,-0.07,0.040372832,0.035527073,1.6307,-0.3075,0.0412,-0.002239497,0.011932362,0.03071501,1.5946,-0.53878,-0.0301,-0.011661911,-0.075817105,0.079390803,1.5634,-0.37491,-0.013,0.034307346
0,0.04,0.01,-0.006047498,0.03010448,1.6613,0.90838,-0.0374,0.035642191,0.040372832,0.035527073,1.6307,-0.3075,0.0412,-0.002239497,0.011932362,0.03071501,1.5946,-0.53878,-0.0301,-0.011661911
-0.06,0,0.04,-0.060799652,0.045139735,1.7072,1.59852,0.0094,0.004786435,-0.006047498,0.03010448,1.6613,0.90838,-0.0374,0.035642191,0.040372832,0.035527073,1.6307,-0.3075,0.0412,-0.002239497
-0.1,-0.06,0,-0.097680957,0.084226008,1.7929,0.87063,0.0159,-0.01401197,-0.060799652,0.045139735,1.7072,1.59852,0.0094,0.004786435,-0.006047498,0.03010448,1.6613,0.90838,-0.0374,0.035642191
-0.16,-0.1,-0.06,-0.154864861,0.045866942,1.8396,0.74605,-0.0037,-0.031295469,-0.097680957,0.084226008,1.7929,0.87063,0.0159,-0.01401197,-0.060799652,0.045139735,1.7072,1.59852,0.0094,0.004786435
-0.17,-0.16,-0.1,-0.176486464,-0.013551639,1.8258,-0.14644,-0.0121,0.03818054,-0.154864861,0.045866942,1.8396,0.74605,-0.0037,-0.031295469,-0.097680957,0.084226008,1.7929,0.87063,0.0159,-0.01401197
-0.13,-0.17,-0.16,-0.127751865,-0.038013309,1.7871,0.27428,-0.017,-0.013580613,-0.176486464,-0.013551639,1.8258,-0.14644,-0.0121,0.03818054,-0.154864861,0.045866942,1.8396,0.74605,-0.0037,-0.031295469
-0.09,-0.13,-0.17,-0.085569634,-0.042647109,1.7437,0.83949,0.0151,-0.026941891,-0.127751865,-0.038013309,1.7871,0.27428,-0.017,-0.013580613,-0.176486464,-0.013551639,1.8258,-0.14644,-0.0121,0.03818054
-0.02,-0.09,-0.13,-0.031493246,-0.025361051,1.7179,0.00355,-0.0712,0.066685725,-0.085569634,-0.042647109,1.7437,0.83949,0.0151,-0.026941891,-0.127751865,-0.038013309,1.7871,0.27428,-0.017,-0.013580613
0.01,-0.02,-0.09,-0.00351686,-0.110661209,1.6054,-0.09716,-0.0135,0.077980113,-0.031493246,-0.025361051,1.7179,0.00355,-0.0712,0.066685725,-0.085569634,-0.042647109,1.7437,0.83949,0.0151,-0.026941891
0.02,0.01,-0.02,0.017648263,-0.171298954,1.4315,-0.00156,-0.0196,0.014011796,-0.00351686,-0.110661209,1.6054,-0.09716,-0.0135,0.077980113,-0.031493246,-0.025361051,1.7179,0.00355,-0.0712,0.066685725
0.03,0.02,0.01,0.030676112,-0.157471491,1.2719,0.12109,-0.0403,-0.004064923,0.017648263,-0.171298954,1.4315,-0.00156,-0.0196,0.014011796,-0.00351686,-0.110661209,1.6054,-0.09716,-0.0135,0.077980113
0.02,0.03,0.02,0.014274762,-0.083374746,1.1875,0.03856,-0.0022,0.033774593,0.030676112,-0.157471491,1.2719,0.12109,-0.0403,-0.004064923,0.017648263,-0.171298954,1.4315,-0.00156,-0.0196,0.014011796
-0.05,0.02,0.03,-0.050839049,0.003755334,1.1913,0.96038,-0.0143,0.005021664,0.014274762,-0.083374746,1.1875,0.03856,-0.0022,0.033774593,0.030676112,-0.157471491,1.2719,0.12109,-0.0403,-0.004064923
-0.1,-0.05,0.02,-0.107722506,0.075077081,1.2673,-0.21936,0.0293,0.045293616,-0.050839049,0.003755334,1.1913,0.96038,-0.0143,0.005021664,0.014274762,-0.083374746,1.1875,0.03856,-0.0022,0.033774593
-0.15,-0.1,-0.05,-0.157946527,0.096924099,1.3655,-0.06745,-0.0241,0.046577397,-0.107722506,0.075077081,1.2673,-0.21936,0.0293,0.045293616,-0.050839049,0.003755334,1.1913,0.96038,-0.0143,0.005021664
-0.2,-0.15,-0.1,-0.201594245,0.108459346,1.4755,0.17645,-0.0437,0.009520011,-0.157946527,0.096924099,1.3655,-0.06745,-0.0241,0.046577397,-0.107722506,0.075077081,1.2673,-0.21936,0.0293,0.045293616
