CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
0.03,-0.01,-0.03,-0.03,0.013407707,1.441,-0.94196,-0.0366,0,0.056312277,1.4274,-0.14425,0.0755,0,0.116966524,1.3703,-9.9476E-14,-0.0973
0.07,0.03,-0.01,-0.01,-0.003548924,1.4374,-1.20009,-0.0364,-0.03,0.013407707,1.441,-0.94196,-0.0366,0,0.056312277,1.4274,-0.14425,0.0755
0.05,0.07,0.03,0.03,-0.011140496,1.4261,-0.30965,0.0147,-0.01,-0.003548924,1.4374,-1.20009,-0.0364,-0.03,0.013407707,1.441,-0.94196,-0.0366
0.04,0.05,0.07,0.07,0.005521109,1.4317,-0.44413,-0.0338,0.03,-0.011140496,1.4261,-0.30965,0.0147,-0.01,-0.003548924,1.4374,-1.20009,-0.0364
0.04,0.04,0.05,0.05,-0.033427091,1.3978,0.21513,-0.0003,0.07,0.005521109,1.4317,-0.44413,-0.0338,0.03,-0.011140496,1.4261,-0.30965,0.0147
0.04,0.04,0.04,0.04,-0.054651225,1.3424,-0.1437,0.0095,0.05,-0.033427091,1.3978,0.21513,-0.0003,0.07,0.005521109,1.4317,-0.44413,-0.0338
0.07,0.04,0.04,0.04,-0.042241984,1.2996,0.29457,0.0294,0.04,-0.054651225,1.3424,-0.1437,0.0095,0.05,-0.033427091,1.3978,0.21513,-0.0003
0.14,0.07,0.04,0.04,-0.01036583,1.2891,0.97548,0.0341,0.04,-0.042241984,1.2996,0.29457,0.0294,0.04,-0.054651225,1.3424,-0.1437,0.0095
0.25,0.14,0.07,0.07,-0.067453495,1.2208,0.08169,0.0295,0.04,-0.01036583,1.2891,0.97548,0.0341,0.04,-0.042241984,1.2996,0.29457,0.0294
0.35,0.25,0.14,0.14,-0.069377395,1.1506,0.15812,-0.0016,0.07,-0.067453495,1.2208,0.08169,0.0295,0.04,-0.01036583,1.2891,0.97548,0.0341
0.47,0.35,0.25,0.25,-0.013347327,1.1371,-0.30336,-0.0141,0.14,-0.069377395,1.1506,0.15812,-0.0016,0.07,-0.067453495,1.2208,0.08169,0.0295
0.4,0.47,0.35,0.35,0.032425967,1.1699,-0.20866,0.0857,0.25,-0.013347327,1.1371,-0.30336,-0.0141,0.14,-0.069377395,1.1506,0.15812,-0.0016
0.42,0.4,0.47,0.47,0.052472198,1.223,-0.87799,0.0136,0.35,0.032425967,1.1699,-0.20866,0.0857,0.25,-0.013347327,1.1371,-0.30336,-0.0141
0.41,0.42,0.4,0.4,0.057677761,1.2814,-0.18323,-0.0132,0.47,0.052472198,1.223,-0.87799,0.0136,0.35,0.032425967,1.1699,-0.20866,0.0857
0.34,0.41,0.42,0.42,0.032281073,1.3141,-0.96305,0.0513,0.4,0.057677761,1.2814,-0.18323,-0.0132,0.47,0.052472198,1.223,-0.87799,0.0136
0.2,0.34,0.41,0.41,0.050523143,1.3653,0.06816,0.0094,0.42,0.032281073,1.3141,-0.96305,0.0513,0.4,0.057677761,1.2814,-0.18323,-0.0132
0.03,0.2,0.34,0.34,0.064892673,1.4311,0.31188,-0.0205,0.41,0.050523143,1.3653,0.06816,0.0094,0.42,0.032281073,1.3141,-0.96305,0.0513
-0.13,0.03,0.2,0.2,0.033219006,1.4648,0.85174,0.0561,0.34,0.064892673,1.4311,0.31188,-0.0205,0.41,0.050523143,1.3653,0.06816,0.0094
-0.25,-0.13,0.03,0.03,-0.033711952,1.4306,0.09632,-0.0372,0.2,0.033219006,1.4648,0.85174,0.0561,0.34,0.064892673,1.4311,0.31188,-0.0205
-0.32,-0.25,-0.13,-0.13,-0.117193062,1.3118,-0.16832,0.0477,0.03,-0.033711952,1.4306,0.09632,-0.0372,0.2,0.033219006,1.4648,0.85174,0.0561
-0.34,-0.32,-0.25,-0.25,-0.1127849,1.1976,-1.02919,0.0262,-0.13,-0.117193062,1.3118,-0.16832,0.0477,0.03,-0.033711952,1.4306,0.09632,-0.0372
-0.32,-0.34,-0.32,-0.32,0.041790677,1.2399,-1.02568,-0.0316,-0.25,-0.1127849,1.1976,-1.02919,0.0262,-0.13,-0.117193062,1.3118,-0.16832,0.0477
-0.24,-0.32,-0.34,-0.34,0.125267345,1.3668,0.91408,0.0024,-0.32,0.041790677,1.2399,-1.02568,-0.0316,-0.25,-0.1127849,1.1976,-1.02919,0.0262
-0.16,-0.24,-0.32,-0.32,0.114370462,1.4828,0.40104,0.0061,-0.34,0.125267345,1.3668,0.91408,0.0024,-0.32,0.041790677,1.2399,-1.02568,-0.0316
-0.07,-0.16,-0.24,-0.24,0.079390803,1.5634,-0.37491,-0.013,-0.32,0.114370462,1.4828,0.40104,0.0061,-0.34,0.125267345,1.3668,0.91408,0.0024
0.01,-0.07,-0.16,-0.16,0.03071501,1.5946,-0.53878,-0.0301,-0.24,0.079390803,1.5634,-0.37491,-0.013,-0.32,0.114370462,1.4828,0.40104,0.0061
0.04,0.01,-0.07,-0.07,0.035527073,1.6307,-0.3075,0.0412,-0.16,0.03071501,1.5946,-0.53878,-0.0301,-0.24,0.079390803,1.5634,-0.37491,-0.013
0,0.04,0.01,0.01,0.03010448,1.6613,0.90838,-0.0374,-0.07,0.035527073,1.6307,-0.3075,0.0412,-0.16,0.03071501,1.5946,-0.53878,-0.0301
-0.06,0,0.04,0.04,0.045139735,1.7072,1.59852,0.0094,0.01,0.03010448,1.6613,0.90838,-0.0374,-0.07,0.035527073,1.6307,-0.3075,0.0412
-0.1,-0.06,0,0,0.084226008,1.7929,0.87063,0.0159,0.04,0.045139735,1.7072,1.59852,0.0094,0.01,0.03010448,1.6613,0.90838,-0.0374
-0.16,-0.1,-0.06,-0.06,0.045866942,1.8396,0.74605,-0.0037,0,0.084226008,1.7929,0.87063,0.0159,0.04,0.045139735,1.7072,1.59852,0.0094
-0.17,-0.16,-0.1,-0.1,-0.013551639,1.8258,-0.14644,-0.0121,-0.06,0.045866942,1.8396,0.74605,-0.0037,0,0.084226008,1.7929,0.87063,0.0159
-0.13,-0.17,-0.16,-0.16,-0.038013309,1.7871,0.27428,-0.017,-0.1,-0.013551639,1.8258,-0.14644,-0.0121,-0.06,0.045866942,1.8396,0.74605,-0.0037
-0.09,-0.13,-0.17,-0.17,-0.042647109,1.7437,0.83949,0.0151,-0.16,-0.038013309,1.7871,0.27428,-0.017,-0.1,-0.013551639,1.8258,-0.14644,-0.0121
-0.02,-0.09,-0.13,-0.13,-0.025361051,1.7179,0.00355,-0.0712,-0.17,-0.042647109,1.7437,0.83949,0.0151,-0.16,-0.038013309,1.7871,0.27428,-0.017
0.01,-0.02,-0.09,-0.09,-0.110661209,1.6054,-0.09716,-0.0135,-0.13,-0.025361051,1.7179,0.00355,-0.0712,-0.17,-0.042647109,1.7437,0.83949,0.0151
0.02,0.01,-0.02,-0.02,-0.171298954,1.4315,-0.00156,-0.0196,-0.09,-0.110661209,1.6054,-0.09716,-0.0135,-0.13,-0.025361051,1.7179,0.00355,-0.0712
0.03,0.02,0.01,0.01,-0.157471491,1.2719,0.12109,-0.0403,-0.02,-0.171298954,1.4315,-0.00156,-0.0196,-0.09,-0.110661209,1.6054,-0.09716,-0.0135
0.02,0.03,0.02,0.02,-0.083374746,1.1875,0.03856,-0.0022,0.01,-0.157471491,1.2719,0.12109,-0.0403,-0.02,-0.171298954,1.4315,-0.00156,-0.0196
-0.05,0.02,0.03,0.03,0.003755334,1.1913,0.96038,-0.0143,0.02,-0.083374746,1.1875,0.03856,-0.0022,0.01,-0.157471491,1.2719,0.12109,-0.0403
-0.1,-0.05,0.02,0.02,0.075077081,1.2673,-0.21936,0.0293,0.03,0.003755334,1.1913,0.96038,-0.0143,0.02,-0.083374746,1.1875,0.03856,-0.0022
