CLI,CLI_t-1,CLI_t-2_stock removed,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2,CLI_t-3_stock removed,CLI_t-4_stock removed
0.03,-0.01,0.154560965,0.013407707,1.441,-0.94196,-0.0366,0.091914985,0.056312277,1.4274,-0.14425,0.0755,0.05737258,0.116966524,1.3703,-9.9476E-14,-0.0973,0.006659005,0.064413629,0
0.07,0.03,0.126360527,-0.003548924,1.4374,-1.20009,-0.0364,0.031545992,0.013407707,1.441,-0.94196,-0.0366,0.091914985,0.056312277,1.4274,-0.14425,0.0755,0.05737258,0.154560965,0.064413629
0.05,0.07,-0.007759682,-0.011140496,1.4261,-0.30965,0.0147,-0.038103657,-0.003548924,1.4374,-1.20009,-0.0364,0.031545992,0.013407707,1.441,-0.94196,-0.0366,0.091914985,0.126360527,0.154560965
0.04,0.05,-0.03517528,0.005521109,1.4317,-0.44413,-0.0338,0.003044379,-0.011140496,1.4261,-0.30965,0.0147,-0.038103657,-0.003548924,1.4374,-1.20009,-0.0364,0.031545992,-0.007759682,0.126360527
0.04,0.04,-0.005991029,-0.033427091,1.3978,0.21513,-0.0003,-0.009007984,0.005521109,1.4317,-0.44413,-0.0338,0.003044379,-0.011140496,1.4261,-0.30965,0.0147,-0.038103657,-0.03517528,-0.007759682
0.04,0.04,-0.015664492,-0.054651225,1.3424,-0.1437,0.0095,-0.006717015,-0.033427091,1.3978,0.21513,-0.0003,-0.009007984,0.005521109,1.4317,-0.44413,-0.0338,0.003044379,-0.005991029,-0.03517528
0.07,0.04,0.017764564,-0.042241984,1.2996,0.29457,0.0294,0.024647135,-0.054651225,1.3424,-0.1437,0.0095,-0.006717015,-0.033427091,1.3978,0.21513,-0.0003,-0.009007984,-0.015664492,-0.005991029
0.14,0.07,0.004681304,-0.01036583,1.2891,0.97548,0.0341,-0.019485567,-0.042241984,1.2996,0.29457,0.0294,0.024647135,-0.054651225,1.3424,-0.1437,0.0095,-0.006717015,0.017764564,-0.015664492
0.25,0.14,0.007313328,-0.067453495,1.2208,0.08169,0.0295,0.027331464,-0.01036583,1.2891,0.97548,0.0341,-0.019485567,-0.042241984,1.2996,0.29457,0.0294,0.024647135,0.004681304,0.017764564
0.35,0.25,0.028636254,-0.069377395,1.1506,0.15812,-0.0016,0.001270077,-0.067453495,1.2208,0.08169,0.0295,0.027331464,-0.01036583,1.2891,0.97548,0.0341,-0.019485567,0.007313328,0.004681304
