CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
0.03,-0.01,-0.03,0.013407707,1.441,-0.94196,-0.0523,0.091914985,0.056312277,1.4274,-0.14425,-0.0157,0.05737258,0.116966524,1.3703,-9.9476E-14,-9.12E-02,0.006659005
0.07,0.03,-0.01,-0.003548924,1.4374,-1.20009,-0.0887,0.031545992,0.013407707,1.441,-0.94196,-0.0523,0.091914985,0.056312277,1.4274,-0.14425,-0.0157,0.05737258
0.05,0.07,0.03,-0.011140496,1.4261,-0.30965,-0.074,-0.038103657,-0.003548924,1.4374,-1.20009,-0.0887,0.031545992,0.013407707,1.441,-0.94196,-0.0523,0.091914985
0.04,0.05,0.07,0.005521109,1.4317,-0.44413,-0.1078,0.003044379,-0.011140496,1.4261,-0.30965,-0.074,-0.038103657,-0.003548924,1.4374,-1.20009,-0.0887,0.031545992
0.04,0.04,0.05,-0.033427091,1.3978,0.21513,-0.1081,-0.009007984,0.005521109,1.4317,-0.44413,-0.1078,0.003044379,-0.011140496,1.4261,-0.30965,-0.074,-0.038103657
0.04,0.04,0.04,-0.054651225,1.3424,-0.1437,-0.0986,-0.006717015,-0.033427091,1.3978,0.21513,-0.1081,-0.009007984,0.005521109,1.4317,-0.44413,-0.1078,0.003044379
0.07,0.04,0.04,-0.042241984,1.2996,0.29457,-0.0692,0.024647135,-0.054651225,1.3424,-0.1437,-0.0986,-0.006717015,-0.033427091,1.3978,0.21513,-0.1081,-0.009007984
0.14,0.07,0.04,-0.01036583,1.2891,0.97548,-0.0351,-0.019485567,-0.042241984,1.2996,0.29457,-0.0692,0.024647135,-0.054651225,1.3424,-0.1437,-0.0986,-0.006717015
0.25,0.14,0.07,-0.067453495,1.2208,0.08169,-0.0056,0.027331464,-0.01036583,1.2891,0.97548,-0.0351,-0.019485567,-0.042241984,1.2996,0.29457,-0.0692,0.024647135
0.35,0.25,0.14,-0.069377395,1.1506,0.15812,-0.0072,0.001270077,-0.067453495,1.2208,0.08169,-0.0056,0.027331464,-0.01036583,1.2891,0.97548,-0.0351,-0.019485567
0.47,0.35,0.25,-0.013347327,1.1371,-0.30336,-0.0213,0.075888641,-0.069377395,1.1506,0.15812,-0.0072,0.001270077,-0.067453495,1.2208,0.08169,-0.0056,0.027331464
0.4,0.47,0.35,0.032425967,1.1699,-0.20866,0.0644,0.085015108,-0.013347327,1.1371,-0.30336,-0.0213,0.075888641,-0.069377395,1.1506,0.15812,-0.0072,0.001270077
0.42,0.4,0.47,0.052472198,1.223,-0.87799,0.078,0.048986624,0.032425967,1.1699,-0.20866,0.0644,0.085015108,-0.013347327,1.1371,-0.30336,-0.0213,0.075888641
0.41,0.42,0.4,0.057677761,1.2814,-0.18323,0.0648,-0.017279858,0.052472198,1.223,-0.87799,0.078,0.048986624,0.032425967,1.1699,-0.20866,0.0644,0.085015108
0.34,0.41,0.42,0.032281073,1.3141,-0.96305,0.1161,0.089585586,0.057677761,1.2814,-0.18323,0.0648,-0.017279858,0.052472198,1.223,-0.87799,0.078,0.048986624
0.2,0.34,0.41,0.050523143,1.3653,0.06816,0.1255,0.054493127,0.032281073,1.3141,-0.96305,0.1161,0.089585586,0.057677761,1.2814,-0.18323,0.0648,-0.017279858
0.03,0.2,0.34,0.064892673,1.4311,0.31188,0.105,0.044542293,0.050523143,1.3653,0.06816,0.1255,0.054493127,0.032281073,1.3141,-0.96305,0.1161,0.089585586
-0.13,0.03,0.2,0.033219006,1.4648,0.85174,0.1611,-0.046607509,0.064892673,1.4311,0.31188,0.105,0.044542293,0.050523143,1.3653,0.06816,0.1255,0.054493127
-0.25,-0.13,0.03,-0.033711952,1.4306,0.09632,0.1239,0.019726299,0.033219006,1.4648,0.85174,0.1611,-0.046607509,0.064892673,1.4311,0.31188,0.105,0.044542293
-0.32,-0.25,-0.13,-0.117193062,1.3118,-0.16832,0.1716,-0.091148208,-0.033711952,1.4306,0.09632,0.1239,0.019726299,0.033219006,1.4648,0.85174,0.1611,-0.046607509
-0.34,-0.32,-0.25,-0.1127849,1.1976,-1.02919,0.1978,-0.212378108,-0.117193062,1.3118,-0.16832,0.1716,-0.091148208,-0.033711952,1.4306,0.09632,0.1239,0.019726299
-0.32,-0.34,-0.32,0.041790677,1.2399,-1.02568,0.1662,0.016872792,-0.1127849,1.1976,-1.02919,0.1978,-0.212378108,-0.117193062,1.3118,-0.16832,0.1716,-0.091148208
-0.24,-0.32,-0.34,0.125267345,1.3668,0.91408,0.1686,0.055200476,0.041790677,1.2399,-1.02568,0.1662,0.016872792,-0.1127849,1.1976,-1.02919,0.1978,-0.212378108
-0.16,-0.24,-0.32,0.114370462,1.4828,0.40104,0.1747,-0.011755544,0.125267345,1.3668,0.91408,0.1686,0.055200476,0.041790677,1.2399,-1.02568,0.1662,0.016872792
-0.07,-0.16,-0.24,0.079390803,1.5634,-0.37491,0.1617,0.034902631,0.114370462,1.4828,0.40104,0.1747,-0.011755544,0.125267345,1.3668,0.91408,0.1686,0.055200476
0.01,-0.07,-0.16,0.03071501,1.5946,-0.53878,0.1316,-0.011594174,0.079390803,1.5634,-0.37491,0.1617,0.034902631,0.114370462,1.4828,0.40104,0.1747,-0.011755544
0.04,0.01,-0.07,0.035527073,1.6307,-0.3075,0.1728,-0.002236991,0.03071501,1.5946,-0.53878,0.1316,-0.011594174,0.079390803,1.5634,-0.37491,0.1617,0.034902631
0,0.04,0.01,0.03010448,1.6613,0.90838,0.1354,0.036284988,0.035527073,1.6307,-0.3075,0.1728,-0.002236991,0.03071501,1.5946,-0.53878,0.1316,-0.011594174
-0.06,0,0.04,0.045139735,1.7072,1.59852,0.1448,0.004797909,0.03010448,1.6613,0.90838,0.1354,0.036284988,0.035527073,1.6307,-0.3075,0.1728,-0.002236991
-0.1,-0.06,0,0.084226008,1.7929,0.87063,0.1607,-0.013914259,0.045139735,1.7072,1.59852,0.1448,0.004797909,0.03010448,1.6613,0.90838,0.1354,0.036284988
-0.16,-0.1,-0.06,0.045866942,1.8396,0.74605,0.157,-0.030810834,0.084226008,1.7929,0.87063,0.1607,-0.013914259,0.045139735,1.7072,1.59852,0.1448,0.004797909
-0.17,-0.16,-0.1,-0.013551639,1.8258,-0.14644,0.1449,0.038918782,0.045866942,1.8396,0.74605,0.157,-0.030810834,0.084226008,1.7929,0.87063,0.1607,-0.013914259
-0.13,-0.17,-0.16,-0.038013309,1.7871,0.27428,0.1279,-0.013488812,-0.013551639,1.8258,-0.14644,0.1449,0.038918782,0.045866942,1.8396,0.74605,0.157,-0.030810834
-0.09,-0.13,-0.17,-0.042647109,1.7437,0.83949,0.143,-0.026582196,-0.038013309,1.7871,0.27428,0.1279,-0.013488812,-0.013551639,1.8258,-0.14644,0.1449,0.038918782
-0.02,-0.09,-0.13,-0.025361051,1.7179,0.00355,0.0718,0.068959478,-0.042647109,1.7437,0.83949,0.143,-0.026582196,-0.038013309,1.7871,0.27428,0.1279,-0.013488812
0.01,-0.02,-0.09,-0.110661209,1.6054,-0.09716,0.0583,0.081101159,-0.025361051,1.7179,0.00355,0.0718,0.068959478,-0.042647109,1.7437,0.83949,0.143,-0.026582196
0.02,0.01,-0.02,-0.171298954,1.4315,-0.00156,0.0387,0.014110422,-0.110661209,1.6054,-0.09716,0.0583,0.081101159,-0.025361051,1.7179,0.00355,0.0718,0.068959478
0.03,0.02,0.01,-0.157471491,1.2719,0.12109,-0.0016,-0.004056673,-0.171298954,1.4315,-0.00156,0.0387,0.014110422,-0.110661209,1.6054,-0.09716,0.0583,0.081101159
0.02,0.03,0.02,-0.083374746,1.1875,0.03856,-0.0038,0.03435143,-0.157471491,1.2719,0.12109,-0.0016,-0.004056673,-0.171298954,1.4315,-0.00156,0.0387,0.014110422
-0.05,0.02,0.03,0.003755334,1.1913,0.96038,-0.0181,0.005034294,-0.083374746,1.1875,0.03856,-0.0038,0.03435143,-0.157471491,1.2719,0.12109,-0.0016,-0.004056673
-0.1,-0.05,0.02,0.075077081,1.2673,-0.21936,0.0112,0.046335036,0.003755334,1.1913,0.96038,-0.0181,0.005034294,-0.083374746,1.1875,0.03856,-0.0038,0.03435143
-0.15,-0.1,-0.05,0.096924099,1.3655,-0.06745,-0.0129,0.047679163,0.075077081,1.2673,-0.21936,0.0112,0.046335036,0.003755334,1.1913,0.96038,-0.0181,0.005034294
-0.2,-0.15,-0.1,0.108459346,1.4755,0.17645,-0.0566,0.009565471,0.096924099,1.3655,-0.06745,-0.0129,0.047679163,0.075077081,1.2673,-0.21936,0.0112,0.046335036
-0.22,-0.2,-0.15,-0.003547717,1.4719,0.99601,-0.0451,-0.073812336,0.108459346,1.4755,0.17645,-0.0566,0.009565471,0.096924099,1.3655,-0.06745,-0.0129,0.047679163
-0.16,-0.22,-0.2,-0.049286869,1.4219,0.08594,-0.0819,0.002040414,-0.003547717,1.4719,0.99601,-0.0451,-0.073812336,0.108459346,1.4755,0.17645,-0.0566,0.009565471
-0.13,-0.16,-0.22,-0.025244283,1.3963,-0.00233,-0.0669,0.069371253,-0.049286869,1.4219,0.08594,-0.0819,0.002040414,-0.003547717,1.4719,0.99601,-0.0451,-0.073812336
-0.11,-0.13,-0.16,-0.018148265,1.3779,0.04658,-0.085,0.003942824,-0.025244283,1.3963,-0.00233,-0.0669,0.069371253,-0.049286869,1.4219,0.08594,-0.0819,0.002040414
-0.09,-0.11,-0.13,-0.066308616,1.3107,-0.04915,-0.1048,-0.029924478,-0.018148265,1.3779,0.04658,-0.085,0.003942824,-0.025244283,1.3963,-0.00233,-0.0669,0.069371253
-0.03,-0.09,-0.11,-0.062105517,1.2478,0.16754,-0.1442,-0.021096293,-0.066308616,1.3107,-0.04915,-0.1048,-0.029924478,-0.018148265,1.3779,0.04658,-0.085,0.003942824
0.03,-0.03,-0.09,-0.033389015,1.214,-0.05932,-0.0982,-0.025436788,-0.062105517,1.2478,0.16754,-0.1442,-0.021096293,-0.066308616,1.3107,-0.04915,-0.1048,-0.029924478
0.05,0.03,-0.03,-0.084707948,1.1283,-0.06315,-0.1171,0.017904661,-0.033389015,1.214,-0.05932,-0.0982,-0.025436788,-0.062105517,1.2478,0.16754,-0.1442,-0.021096293
0.01,0.05,0.03,-0.123285789,1.0037,-0.18127,-0.1116,0.065637865,-0.084707948,1.1283,-0.06315,-0.1171,0.017904661,-0.033389015,1.214,-0.05932,-0.0982,-0.025436788
-0.06,0.01,0.05,-0.21834903,0.7834,-0.02722,-0.1523,-0.006340717,-0.123285789,1.0037,-0.18127,-0.1116,0.065637865,-0.084707948,1.1283,-0.06315,-0.1171,0.017904661
-0.13,-0.06,0.01,-0.393496588,0.3876,0.03084,-0.1698,-0.070642222,-0.21834903,0.7834,-0.02722,-0.1523,-0.006340717,-0.123285789,1.0037,-0.18127,-0.1116,0.065637865
-0.17,-0.13,-0.06,-0.432371126,-0.04551,-0.06547,-0.2036,-0.051950643,-0.393496588,0.3876,0.03084,-0.1698,-0.070642222,-0.21834903,0.7834,-0.02722,-0.1523,-0.006340717
-0.18,-0.17,-0.13,-0.283269563,-0.32825,-0.88901,-0.2317,0.005224127,-0.432371126,-0.04551,-0.06547,-0.2036,-0.051950643,-0.393496588,0.3876,0.03084,-0.1698,-0.070642222
-0.18,-0.18,-0.17,-0.068096632,-0.3961,-0.38105,-0.2617,-0.001056104,-0.283269563,-0.32825,-0.88901,-0.2317,0.005224127,-0.432371126,-0.04551,-0.06547,-0.2036,-0.051950643
-0.13,-0.18,-0.18,0.042358846,-0.3539,0.20059,-0.3,0.035611922,-0.068096632,-0.3961,-0.38105,-0.2617,-0.001056104,-0.283269563,-0.32825,-0.88901,-0.2317,0.005224127
-0.03,-0.13,-0.18,0.091772809,-0.26241,0.12917,-0.3052,-0.026553171,0.042358846,-0.3539,0.20059,-0.3,0.035611922,-0.068096632,-0.3961,-0.38105,-0.2617,-0.001056104
0.11,-0.03,-0.13,0.256804722,-0.00595,-0.71555,-0.4047,0.081515618,0.091772809,-0.26241,0.12917,-0.3052,-0.026553171,0.042358846,-0.3539,0.20059,-0.3,0.035611922
0.23,0.11,-0.03,0.377558856,0.3723,-0.83252,-0.3639,0.075249502,0.256804722,-0.00595,-0.71555,-0.4047,0.081515618,0.091772809,-0.26241,0.12917,-0.3052,-0.026553171
0.26,0.23,0.11,0.140278938,0.5132,-0.44788,-0.3014,0.026274121,0.377558856,0.3723,-0.83252,-0.3639,0.075249502,0.256804722,-0.00595,-0.71555,-0.4047,0.081515618
0.28,0.26,0.23,-0.009153446,0.504,-0.4497,-0.367,-0.008294075,0.140278938,0.5132,-0.44788,-0.3014,0.026274121,0.377558856,0.3723,-0.83252,-0.3639,0.075249502
0.27,0.28,0.26,-0.045381624,0.4584,-0.26678,-0.3283,0.000728429,-0.009153446,0.504,-0.4497,-0.367,-0.008294075,0.140278938,0.5132,-0.44788,-0.3014,0.026274121
0.26,0.27,0.28,-0.062632592,0.3955,-0.16868,-0.3091,0.014015088,-0.045381624,0.4584,-0.26678,-0.3283,0.000728429,-0.009153446,0.504,-0.4497,-0.367,-0.008294075
0.24,0.26,0.27,-0.044932425,0.3504,-0.19652,-0.2901,0.027823131,-0.062632592,0.3955,-0.16868,-0.3091,0.014015088,-0.045381624,0.4584,-0.26678,-0.3283,0.000728429
0.16,0.24,0.26,-0.056218864,0.294,-0.59916,-0.2272,0.008329901,-0.044932425,0.3504,-0.19652,-0.2901,0.027823131,-0.062632592,0.3955,-0.16868,-0.3091,0.014015088
0.06,0.16,0.24,-0.184927701,0.1087,0.12415,-0.2316,-0.015750818,-0.056218864,0.294,-0.59916,-0.2272,0.008329901,-0.044932425,0.3504,-0.19652,-0.2901,0.027823131
-0.03,0.06,0.16,-0.262459204,-0.1537,0.07154,-0.2049,-0.029358495,-0.184927701,0.1087,0.12415,-0.2316,-0.015750818,-0.056218864,0.294,-0.59916,-0.2272,0.008329901
-0.05,-0.03,0.06,-0.1904838,-0.34371,0.3186,-0.2365,-0.03776138,-0.262459204,-0.1537,0.07154,-0.2049,-0.029358495,-0.184927701,0.1087,0.12415,-0.2316,-0.015750818
-0.03,-0.05,-0.03,-0.057393678,-0.40089,-0.13064,-0.272,0.045505656,-0.1904838,-0.34371,0.3186,-0.2365,-0.03776138,-0.262459204,-0.1537,0.07154,-0.2049,-0.029358495
0.02,-0.03,-0.05,0.095266704,-0.30596,-0.29742,-0.268,0.009175503,-0.057393678,-0.40089,-0.13064,-0.272,0.045505656,-0.1904838,-0.34371,0.3186,-0.2365,-0.03776138
0.04,0.02,-0.03,0.164348127,-0.14198,0.25014,-0.2404,-0.018901898,0.095266704,-0.30596,-0.29742,-0.268,0.009175503,-0.057393678,-0.40089,-0.13064,-0.272,0.045505656
0,0.04,0.02,0.09641046,-0.04566,-0.01562,-0.2146,0.021724801,0.164348127,-0.14198,0.25014,-0.2404,-0.018901898,0.095266704,-0.30596,-0.29742,-0.268,0.009175503
-0.13,0,0.04,0.004772065,-0.04089,-0.54583,-0.1337,0.059970558,0.09641046,-0.04566,-0.01562,-0.2146,0.021724801,0.164348127,-0.14198,0.25014,-0.2404,-0.018901898
-0.27,-0.13,0,-0.099780544,-0.14058,-0.05822,-0.1718,-0.036228025,0.004772065,-0.04089,-0.54583,-0.1337,0.059970558,0.09641046,-0.04566,-0.01562,-0.2146,0.021724801
-0.36,-0.27,-0.13,-0.195896875,-0.33601,0.15167,-0.2226,-0.061888473,-0.099780544,-0.14058,-0.05822,-0.1718,-0.036228025,0.004772065,-0.04089,-0.54583,-0.1337,0.059970558
-0.31,-0.36,-0.27,-0.221237106,-0.55626,0.20975,-0.2936,-0.040579828,-0.195896875,-0.33601,0.15167,-0.2226,-0.061888473,-0.099780544,-0.14058,-0.05822,-0.1718,-0.036228025
-0.19,-0.31,-0.36,-0.190358951,-0.74538,-0.37491,-0.2907,0.04620282,-0.221237106,-0.55626,0.20975,-0.2936,-0.040579828,-0.195896875,-0.33601,0.15167,-0.2226,-0.061888473
-0.04,-0.19,-0.31,-0.063644491,-0.80853,-1.64382,-0.2314,0.054918013,-0.190358951,-0.74538,-0.37491,-0.2907,0.04620282,-0.221237106,-0.55626,0.20975,-0.2936,-0.040579828
0.1,-0.04,-0.19,0.129564274,-0.67993,-1.12636,-0.2813,0.048636848,-0.063644491,-0.80853,-1.64382,-0.2314,0.054918013,-0.190358951,-0.74538,-0.37491,-0.2907,0.04620282
0.18,0.1,-0.04,0.151908215,-0.52894,-0.03579,-0.2396,0.023991122,0.129564274,-0.67993,-1.12636,-0.2813,0.048636848,-0.063644491,-0.80853,-1.64382,-0.2314,0.054918013
0.21,0.18,0.1,0.070206832,-0.45908,-0.24769,-0.2122,0.004422395,0.151908215,-0.52894,-0.03579,-0.2396,0.023991122,0.129564274,-0.67993,-1.12636,-0.2813,0.048636848
0.22,0.21,0.18,-0.001255773,-0.46033,-0.75277,-0.1714,0.017876169,0.070206832,-0.45908,-0.24769,-0.2122,0.004422395,0.151908215,-0.52894,-0.03579,-0.2396,0.023991122
0.22,0.22,0.21,-0.008238261,-0.46853,-0.19893,-0.1402,0.020003311,-0.001255773,-0.46033,-0.75277,-0.1714,0.017876169,0.070206832,-0.45908,-0.24769,-0.2122,0.004422395
0.2,0.22,0.22,-0.025733866,-0.49414,-0.00814,-0.0944,-0.020549827,-0.008238261,-0.46853,-0.19893,-0.1402,0.020003311,-0.001255773,-0.46033,-0.75277,-0.1714,0.017876169
0.19,0.2,0.22,-0.112800675,-0.60632,0.02048,-0.0769,-0.002583112,-0.025733866,-0.49414,-0.00814,-0.0944,-0.020549827,-0.008238261,-0.46853,-0.19893,-0.1402,0.020003311
0.16,0.19,0.2,-0.157236156,-0.76248,-0.09257,-0.0952,0.015750158,-0.112800675,-0.60632,0.02048,-0.0769,-0.002583112,-0.025733866,-0.49414,-0.00814,-0.0944,-0.020549827
0.16,0.16,0.19,-0.127008421,-0.88844,0.05185,-0.1394,-0.008336239,-0.157236156,-0.76248,-0.09257,-0.0952,0.015750158,-0.112800675,-0.60632,0.02048,-0.0769,-0.002583112
0.15,0.16,0.16,-0.047876713,-0.93588,-0.08949,-0.0673,0.059123437,-0.127008421,-0.88844,0.05185,-0.1394,-0.008336239,-0.157236156,-0.76248,-0.09257,-0.0952,0.015750158
0.11,0.15,0.16,0.022356756,-0.91373,0.04581,-0.041,0.002875756,-0.047876713,-0.93588,-0.08949,-0.0673,0.059123437,-0.127008421,-0.88844,0.05185,-0.1394,-0.008336239
0.05,0.11,0.15,0.094468963,-0.82008,-0.14625,-0.1013,0.032096895,0.022356756,-0.91373,0.04581,-0.041,0.002875756,-0.047876713,-0.93588,-0.08949,-0.0673,0.059123437
0,0.05,0.11,0.176482755,-0.64489,-0.20602,-0.0579,-0.004339273,0.094468963,-0.82008,-0.14625,-0.1013,0.032096895,0.022356756,-0.91373,0.04581,-0.041,0.002875756
-0.05,0,0.05,0.308606567,-0.3378,-0.22479,-0.0695,0.064948883,0.176482755,-0.64489,-0.20602,-0.0579,-0.004339273,0.094468963,-0.82008,-0.14625,-0.1013,0.032096895
-0.09,-0.05,0,0.320620257,-0.01775,0.06064,-0.0425,0.035492112,0.308606567,-0.3378,-0.22479,-0.0695,0.064948883,0.176482755,-0.64489,-0.20602,-0.0579,-0.004339273
-0.15,-0.09,-0.05,0.218549841,0.201,-0.18017,-0.0148,-0.010168112,0.320620257,-0.01775,0.06064,-0.0425,0.035492112,0.308606567,-0.3378,-0.22479,-0.0695,0.064948883
-0.18,-0.15,-0.09,0.146996228,0.3484,-0.0357,-0.0366,-0.056024843,0.218549841,0.201,-0.18017,-0.0148,-0.010168112,0.320620257,-0.01775,0.06064,-0.0425,0.035492112
-0.17,-0.18,-0.15,0.153944688,0.503,0.06223,-0.0574,-0.023449114,0.146996228,0.3484,-0.0357,-0.0366,-0.056024843,0.218549841,0.201,-0.18017,-0.0148,-0.010168112
-0.12,-0.17,-0.18,0.155893666,0.6598,-0.06254,0.0001,-0.013320861,0.153944688,0.503,0.06223,-0.0574,-0.023449114,0.146996228,0.3484,-0.0357,-0.0366,-0.056024843
-0.07,-0.12,-0.17,0.128072389,0.7888,-0.03941,0.0215,-0.035248014,0.155893666,0.6598,-0.06254,0.0001,-0.013320861,0.153944688,0.503,0.06223,-0.0574,-0.023449114
-0.05,-0.07,-0.12,0.091436602,0.881,0.07851,-0.0162,0.018865582,0.128072389,0.7888,-0.03941,0.0215,-0.035248014,0.155893666,0.6598,-0.06254,0.0001,-0.013320861
-0.03,-0.05,-0.07,0.098978567,0.9809,0.31108,0.0791,0.046739782,0.091436602,0.881,0.07851,-0.0162,0.018865582,0.128072389,0.7888,-0.03941,0.0215,-0.035248014
-0.07,-0.03,-0.05,0.071572079,1.0532,0.19066,0.0487,-0.025217721,0.098978567,0.9809,0.31108,0.0791,0.046739782,0.091436602,0.881,0.07851,-0.0162,0.018865582
-0.09,-0.07,-0.03,0.02434065,1.0778,0.20659,0.0554,-0.016645651,0.071572079,1.0532,0.19066,0.0487,-0.025217721,0.098978567,0.9809,0.31108,0.0791,0.046739782
-0.11,-0.09,-0.07,-0.018700216,1.0589,0.15066,0.0755,0.013157473,0.02434065,1.0778,0.20659,0.0554,-0.016645651,0.071572079,1.0532,0.19066,0.0487,-0.025217721
-0.11,-0.11,-0.09,-0.028205353,1.0304,0.30149,0.0972,-0.019513338,-0.018700216,1.0589,0.15066,0.0755,0.013157473,0.02434065,1.0778,0.20659,0.0554,-0.016645651
-0.07,-0.11,-0.11,-0.047323688,0.9826,0.21093,0.0739,0.000553448,-0.028205353,1.0304,0.30149,0.0972,-0.019513338,-0.018700216,1.0589,0.15066,0.0755,0.013157473
-0.03,-0.07,-0.11,-0.124256976,0.8572,0.16613,0.1151,0.007720467,-0.047323688,0.9826,0.21093,0.0739,0.000553448,-0.028205353,1.0304,0.30149,0.0972,-0.019513338
0,-0.03,-0.07,-0.136622954,0.7195,-0.07837,0.0902,0.008704885,-0.124256976,0.8572,0.16613,0.1151,0.007720467,-0.047323688,0.9826,0.21093,0.0739,0.000553448
0.03,0,-0.03,-0.04230463,0.6769,0.01079,0.0528,0.039028357,-0.136622954,0.7195,-0.07837,0.0902,0.008704885,-0.124256976,0.8572,0.16613,0.1151,0.007720467
0.07,0.03,0,0.023140665,0.7002,0.03983,0.097,0.028119397,-0.04230463,0.6769,0.01079,0.0528,0.039028357,-0.136622954,0.7195,-0.07837,0.0902,0.008704885
0.07,0.07,0.03,0.096576792,0.7975,-0.06132,0.0382,0.01923036,0.023140665,0.7002,0.03983,0.097,0.028119397,-0.04230463,0.6769,0.01079,0.0528,0.039028357
0.06,0.07,0.07,0.068827223,0.8669,0.16202,0.0002,0.022361351,0.096576792,0.7975,-0.06132,0.0382,0.01923036,0.023140665,0.7002,0.03983,0.097,0.028119397
0.04,0.06,0.07,-0.021515814,0.8452,-0.00118,0.0256,0.017644772,0.068827223,0.8669,0.16202,0.0002,0.022361351,0.096576792,0.7975,-0.06132,0.0382,0.01923036
0.01,0.04,0.06,-0.131972351,0.7122,-0.08029,0.0018,0.01356971,-0.021515814,0.8452,-0.00118,0.0256,0.017644772,0.068827223,0.8669,0.16202,0.0002,0.022361351
-0.01,0.01,0.04,-0.11534548,0.5961,0.02244,-0.0178,-0.00069936,-0.131972351,0.7122,-0.08029,0.0018,0.01356971,-0.021515814,0.8452,-0.00118,0.0256,0.017644772
-0.03,-0.01,0.01,-0.077866327,0.5178,-0.09695,-0.041,0.013736129,-0.11534548,0.5961,0.02244,-0.0178,-0.00069936,-0.131972351,0.7122,-0.08029,0.0018,0.01356971
-0.01,-0.03,-0.01,-0.024078236,0.4936,-0.17103,-0.0894,0.019240369,-0.077866327,0.5178,-0.09695,-0.041,0.013736129,-0.11534548,0.5961,0.02244,-0.0178,-0.00069936
0,-0.01,-0.03,0.00218917,0.4958,-0.10267,-0.043,0.018493499,-0.024078236,0.4936,-0.17103,-0.0894,0.019240369,-0.077866327,0.5178,-0.09695,-0.041,0.013736129
0.02,0,-0.01,0.037805378,0.5338,-0.20164,-0.0515,0.005755004,0.00218917,0.4958,-0.10267,-0.043,0.018493499,-0.024078236,0.4936,-0.17103,-0.0894,0.019240369
