x_t,x_t-1,x_t-2,GDP_M,INDPRO,RPIX,RMTS,PAYEMS,GDP_M_t-1,INDPRO_t-1,RPIX_t-1,RMTS_t-1,PAYEMS_t-1,GDP_M_t-2,INDPRO_t-2,RPIX_t-2,RMTS_-2,PAYEMS_t-2
,,,,,,,,,,,,,,,,,
,,,0.005341038,0.589235591,,,,,,,,,,,,,
,,,-0.012280728,0.585060175,,,,0.005341038,0.589235591,,,,,,,,
,,,-0.065146023,-0.781086515,,,,-0.012280728,0.585060175,,,,0.005341038,0.589235591,,,
,,,-0.170876614,0.390942581,,,,-0.065146023,-0.781086515,,,,-0.012280728,0.585060175,,,
,,,-0.240318316,0,,,,-0.170876614,0.390942581,,,,-0.065146023,-0.781086515,,,
,,,-0.184316943,-0.58735394,,,,-0.240318316,0,,,,-0.170876614,0.390942581,,,
,,,0.086281688,0.58735394,,,,-0.184316943,-0.58735394,,,,-0.240318316,0,,,
,,,0.4166331,0.778771659,,,,0.086281688,0.58735394,,,,-0.184316943,-0.58735394,,,
,,,0.65189281,0.964298568,,,,0.4166331,0.778771659,,,,0.086281688,0.58735394,,,
,,,0.63721634,1.334161694,,,,0.65189281,0.964298568,,,,0.4166331,0.778771659,,,
,,,0.511895731,0.378343478,,,,0.63721634,1.334161694,,,,0.65189281,0.964298568,,,
,,,0.415223024,0.564146774,,,,0.511895731,0.378343478,,,,0.63721634,1.334161694,,,
,,,0.486490263,0.187576105,,,-0.32731052,0.415223024,0.564146774,,,,0.511895731,0.378343478,,,
,,,0.604771881,-1.129361787,,,0.336262871,0.486490263,0.187576105,,,-0.32731052,0.415223024,0.564146774,,,
,,,0.649142316,0.188646098,,,-0.68267315,0.604771881,-1.129361787,,,0.336262871,0.486490263,0.187576105,,,-0.32731052
,,,0.498676003,1.686829831,,,0.935246514,0.649142316,0.188646098,,,-0.68267315,0.604771881,-1.129361787,,,0.336262871
,,,0.275809114,1.292964515,,,0.529891032,0.498676003,1.686829831,,,0.935246514,0.649142316,0.188646098,,,-0.68267315
,,,0.102977822,0,,,0.279397924,0.275809114,1.292964515,,,0.529891032,0.498676003,1.686829831,,,0.935246514
,,,0.1026183,-0.36791146,,,0.03985034,0.102977822,0,,,0.279397924,0.275809114,1.292964515,,,0.529891032
,,,0.154158841,-0.73921856,,,0.25643307,0.1026183,-0.36791146,,,0.03985034,0.102977822,0,,,0.279397924
,,,0.137027738,0.739903668,,,-0.108240658,0.154158841,-0.73921856,,,0.25643307,0.1026183,-0.36791146,,,0.03985034
,,,-0.069346716,-1.29775235,,,-0.117208678,0.137027738,0.739903668,,,-0.108240658,0.154158841,-0.73921856,,,0.25643307
,,,-0.343659234,-0.937186534,,,-0.354673186,-0.069346716,-1.29775235,,,-0.117208678,0.137027738,0.739903668,,,-0.108240658
,,,-0.564604532,-0.94605288,,,-0.811598658,-0.343659234,-0.937186534,,,-0.354673186,-0.069346716,-1.29775235,,,-0.117208678
,,,-0.610877323,-0.955088591,,,-0.383559041,-0.564604532,-0.94605288,,,-0.811598658,-0.343659234,-0.937186534,,,-0.354673186
,,,-0.486297144,-1.937986467,,,-0.579241396,-0.610877323,-0.955088591,,,-0.383559041,-0.564604532,-0.94605288,,,-0.811598658
,,,-0.194683536,-0.589235591,,,-0.009042,-0.486297144,-1.937986467,,,-0.579241396,-0.610877323,-0.955088591,,,-0.383559041
,,,0.260143965,-1.38705229,,,-0.571300579,-0.194683536,-0.589235591,,,-0.009042,-0.486297144,-1.937986467,,,-0.579241396
,,,0.626527914,-0.199942834,,,-0.55857788,0.260143965,-1.38705229,,,-0.571300579,-0.194683536,-0.589235591,,,-0.009042
,,,0.65281087,-0.200343406,,,-0.476682466,0.626527914,-0.199942834,,,-0.55857788,0.260143965,-1.38705229,,,-0.571300579
,,,0.087335389,0.996989127,,,0.213412966,0.65281087,-0.200343406,,,-0.476682466,0.626527914,-0.199942834,,,-0.55857788
,,,-0.560409654,0.987147295,,,0.356963447,0.087335389,0.996989127,,,0.213412966,0.65281087,-0.200343406,,,-0.476682466
,,,-0.780935384,-3.804003011,,,-1.932672411,-0.560409654,0.987147295,,,0.356963447,0.087335389,0.996989127,,,0.213412966
,,,-0.064752928,2.618103577,,,0.696187719,-0.780935384,-3.804003011,,,-1.932672411,-0.560409654,0.987147295,,,0.356963447
,,,0.981795015,1.773253374,,,0.64543122,-0.064752928,2.618103577,,,0.696187719,-0.780935384,-3.804003011,,,-1.932672411
,,,1.752365745,1.743070227,,,0.009190332,0.981795015,1.773253374,,,0.64543122,-0.064752928,2.618103577,,,0.696187719
,,,1.640616563,0.382703979,,,-0.527511215,1.752365745,1.743070227,,,0.009190332,0.981795015,1.773253374,,,0.64543122
,,,1.131920424,3.1989625,,,1.506028396,1.640616563,0.382703979,,,-0.527511215,1.752365745,1.743070227,,,0.009190332
,,,0.711650285,3.279293404,,,0.969034933,1.131920424,3.1989625,,,1.506028396,1.640616563,0.382703979,,,-0.527511215
,,,0.8651791,2.302694301,,,0.754212329,0.711650285,3.279293404,,,0.969034933,1.131920424,3.1989625,,,1.506028396
,,,1.246180216,2.933947782,,,0.812913019,0.8651791,2.302694301,,,0.754212329,0.711650285,3.279293404,,,0.969034933
,,,1.508326978,3.179970645,,,0.819559024,1.246180216,2.933947782,,,0.812913019,0.8651791,2.302694301,,,0.754212329
,,,1.305292731,3.082551573,,,1.610579737,1.508326978,3.179970645,,,0.819559024,1.246180216,2.933947782,,,0.812913019
,,,0.883620613,-0.641486437,,,0.531146666,1.305292731,3.082551573,,,1.610579737,1.508326978,3.179970645,,,0.819559024
,,,0.489853764,0.640892166,,,0.57545465,0.883620613,-0.641486437,,,0.531146666,1.305292731,3.082551573,,,1.610579737
,,,0.370535321,-0.159391965,,,0.149761479,0.489853764,0.640892166,,,0.57545465,0.883620613,-0.641486437,,,0.531146666
,,,0.407392055,1.744756872,,,0.181552214,0.370535321,-0.159391965,,,0.149761479,0.489853764,0.640892166,,,0.57545465
,,,0.482150737,0.31361261,,,0.907079051,0.407392055,1.744756872,,,0.181552214,0.370535321,-0.159391965,,,0.149761479
,,,0.476538136,0.62544889,,,0.609288766,0.482150737,0.31361261,,,0.907079051,0.407392055,1.744756872,,,0.181552214
,,,0.461607061,0.465956051,,,0.620221999,0.476538136,0.62544889,,,0.609288766,0.482150737,0.31361261,,,0.907079051
,,,0.508410321,0.155029409,,,-0.025069463,0.461607061,0.465956051,,,0.620221999,0.476538136,0.62544889,,,0.609288766
,,,0.688000723,-0.310299532,,,0.189953404,0.508410321,0.155029409,,,-0.025069463,0.461607061,0.465956051,,,0.620221999
,,,0.850928217,-0.466681796,,,0.233294557,0.688000723,-0.310299532,,,0.189953404,0.508410321,0.155029409,,,-0.025069463
,,,0.847742752,-1.572311611,,,-0.006241873,0.850928217,-0.466681796,,,0.233294557,0.688000723,-0.310299532,,,0.189953404
,,,0.528994275,-0.955510894,,,-0.102005775,0.847742752,-1.572311611,,,-0.006241873,0.850928217,-0.466681796,,,0.233294557
,,,0.126098701,0.637823483,,,-0.120876158,0.528994275,-0.955510894,,,-0.102005775,0.847742752,-1.572311611,,,-0.006241873
,,,-0.129528057,-0.159222978,,,0.108378502,0.126098701,0.637823483,,,-0.120876158,0.528994275,-0.955510894,,,-0.102005775
,,,-0.006470084,0.793004044,,,0.293282791,-0.129528057,-0.159222978,,,0.108378502,0.126098701,0.637823483,,,-0.120876158
,,,0.276477921,0.629789565,,,0.346254272,-0.006470084,0.793004044,,,0.293282791,-0.129528057,-0.159222978,,,0.108378502
,,,0.500521258,1.093110187,,,-0.037263224,0.276477921,0.629789565,,,0.346254272,-0.006470084,0.793004044,,,0.293282791
,,,0.446865228,0.61906509,,,0.466856185,0.500521258,1.093110187,,,-0.037263224,0.276477921,0.629789565,,,0.346254272
,,,0.242043016,0.30838746,,,-0.037103457,0.446865228,0.61906509,,,0.466856185,0.500521258,1.093110187,,,-0.037263224
,,,0.012587807,-0.927452549,,,0.238870012,0.242043016,0.30838746,,,-0.037103457,0.446865228,0.61906509,,,0.466856185
,,,-0.114967212,-0.936134818,,,0.045238635,0.012587807,-0.927452549,,,0.238870012,0.242043016,0.30838746,,,-0.037103457
,,,-0.09656843,-0.944981182,,,-0.742853484,-0.114967212,-0.936134818,,,0.045238635,0.012587807,-0.927452549,,,0.238870012
,,,0.111837768,-1.594888501,,,-0.288307174,-0.09656843,-0.944981182,,,-0.742853484,-0.114967212,-0.936134818,,,0.045238635
,,,0.554304994,6.232949264,,,1.609232497,0.111837768,-1.594888501,,,-0.288307174,-0.09656843,-0.944981182,,,-0.742853484
,,,1.019907758,3.560992555,,,0.806160467,0.554304994,6.232949264,,,1.609232497,0.111837768,-1.594888501,,,-0.288307174
,,,1.29772057,1.015423388,,,0.560066973,1.019907758,3.560992555,,,0.806160467,0.554304994,6.232949264,,,1.609232497
,,,1.176817941,1.999901906,,,0.440586954,1.29772057,1.015423388,,,0.560066973,1.019907758,3.560992555,,,0.806160467
,,,0.85260949,0.56405576,,,0.700128883,1.176817941,1.999901906,,,0.440586954,1.29772057,1.015423388,,,0.560066973
,,,0.520504837,0.281100132,,,-0.043864022,0.85260949,0.56405576,,,0.700128883,1.176817941,1.999901906,,,0.440586954
,,,0.375913603,0.559321949,,,0.388125842,0.520504837,0.281100132,,,-0.043864022,0.85260949,0.56405576,,,0.700128883
,,,0.330535062,0.833417813,,,0.265841525,0.375913603,0.559321949,,,0.388125842,0.520504837,0.281100132,,,-0.043864022
,,,0.296068493,0.413862394,,,-0.075316133,0.330535062,0.833417813,,,0.265841525,0.375913603,0.559321949,,,0.388125842
,,,0.184213169,0.54933541,,,0.108991836,0.296068493,0.413862394,,,-0.075316133,0.330535062,0.833417813,,,0.265841525
,,,0.016739647,-0.411590462,,,0.057420627,0.184213169,0.54933541,,,0.108991836,0.296068493,0.413862394,,,-0.075316133
,,,-0.184581517,1.230229239,,,0.033645045,0.016739647,-0.411590462,,,0.057420627,0.184213169,0.54933541,,,0.108991836
,,,-0.397979767,-0.544844471,,,-0.093046282,-0.184581517,1.230229239,,,0.033645045,0.016739647,-0.411590462,,,0.057420627
,,,-0.560300569,-2.070409923,,,-0.239943798,-0.397979767,-0.544844471,,,-0.093046282,-0.184581517,1.230229239,,,0.033645045
,,,-0.608389387,-0.840422081,,,-0.254453063,-0.560300569,-2.070409923,,,-0.239943798,-0.397979767,-0.544844471,,,-0.093046282
,,,-0.479091686,-2.419658657,,,-0.663021161,-0.608389387,-0.840422081,,,-0.254453063,-0.560300569,-2.070409923,,,-0.239943798
,,,-0.273944193,-2.48021049,,,-0.411601709,-0.479091686,-2.419658657,,,-0.663021161,-0.608389387,-0.840422081,,,-0.254453063
,,,-0.094483637,-0.741271161,,,-0.471908269,-0.273944193,-2.48021049,,,-0.411601709,-0.479091686,-2.419658657,,,-0.663021161
,,,-0.042246745,0.296836999,,,-0.176022544,-0.094483637,-0.741271161,,,-0.471908269,-0.273944193,-2.48021049,,,-0.411601709
,,,-0.041219403,-0.595112987,,,-0.456672771,-0.042246745,0.296836999,,,-0.176022544,-0.094483637,-0.741271161,,,-0.471908269
,,,-0.015387499,-0.598675795,,,0.04474455,-0.041219403,-0.595112987,,,-0.456672771,-0.042246745,0.296836999,,,-0.176022544
,,,0.111263082,0.598675795,,,-0.436094594,-0.015387499,-0.598675795,,,0.04474455,-0.041219403,-0.595112987,,,-0.456672771
,,,0.276380705,0.298275988,,,-0.143061541,0.111263082,0.598675795,,,-0.436094594,-0.015387499,-0.598675795,,,0.04474455
,,,0.417613738,0.148252255,,,-0.122787286,0.276380705,0.298275988,,,-0.143061541,0.111263082,0.598675795,,,-0.436094594
,,,0.472610547,-0.148252255,,,-0.018431104,0.417613738,0.148252255,,,-0.122787286,0.276380705,0.298275988,,,-0.143061541
,,,0.507981167,0.148805024,,,0.122809906,0.472610547,-0.148252255,,,-0.018431104,0.417613738,0.148252255,,,-0.122787286
,,,0.590335635,1.181442777,,,0.114486663,0.507981167,0.148805024,,,0.122809906,0.472610547,-0.148252255,,,-0.018431104
,,,0.786283987,1.602427311,,,0.485111324,0.590335635,1.181442777,,,0.114486663,0.507981167,0.148805024,,,0.122809906
,,,0.98203802,1.292049733,,,0.306564989,0.786283987,1.602427311,,,0.485111324,0.590335635,1.181442777,,,0.114486663
,,,1.063809535,2.256837545,,,0.333917155,0.98203802,1.292049733,,,0.306564989,0.786283987,1.602427311,,,0.485111324
,,,0.917810331,1.247280207,,,0.298567904,1.063809535,2.256837545,,,0.333917155,0.98203802,1.292049733,,,0.306564989
,,,0.672258429,2.3147423,,,0.638517921,0.917810331,1.247280207,,,0.298567904,1.063809535,2.256837545,,,0.333917155
,,,0.455371851,1.203895426,,,0.570802867,0.672258429,2.3147423,,,0.638517921,0.917810331,1.247280207,,,0.298567904
,,,0.395368618,1.583299334,,,0.524018666,0.455371851,1.203895426,,,0.570802867,0.672258429,2.3147423,,,0.638517921
,,,0.424147831,0.130898033,,,0.5488553,0.395368618,1.583299334,,,0.524018666,0.455371851,1.203895426,,,0.570802867
,,,0.473608587,0.781327769,,,0.387121346,0.424147831,0.130898033,,,0.5488553,0.395368618,1.583299334,,,0.524018666
,,,0.475649985,-0.129878613,,,0.242903996,0.473608587,0.781327769,,,0.387121346,0.424147831,0.130898033,,,0.5488553
,,,0.409547167,0.647232749,,,0.302802619,0.475649985,-0.129878613,,,0.242903996,0.473608587,0.781327769,,,0.387121346
,,,0.254575276,1.663269697,,,0.317445128,0.409547167,0.647232749,,,0.302802619,0.475649985,-0.129878613,,,0.242903996
,,,-0.009990546,0.253667229,,,0.316440601,0.254575276,1.663269697,,,0.317445128,0.409547167,0.647232749,,,0.302802619
,,,-0.241881402,0.37882928,,,0.4120048,-0.009990546,0.253667229,,,0.316440601,0.254575276,1.663269697,,,0.317445128
,,,-0.298828393,0.628521121,,,0.327616404,-0.241881402,0.37882928,,,0.4120048,-0.009990546,0.253667229,,,0.316440601
,,,-0.038562623,-0.880757681,,,0.368727732,-0.298828393,0.628521121,,,0.327616404,-0.241881402,0.37882928,,,0.4120048
,,,0.300972147,0,,,0.243153067,-0.038562623,-0.880757681,,,0.368727732,-0.298828393,0.628521121,,,0.327616404
,,,0.481832156,0.755742504,,,0.154773651,0.300972147,0,,,0.243153067,-0.038562623,-0.880757681,,,0.368727732
,,,0.266073642,-0.882335224,,,0.249807054,0.481832156,0.755742504,,,0.154773651,0.300972147,0,,,0.243153067
,,,-0.071490423,-0.890189733,,,0.152247584,0.266073642,-0.882335224,,,0.249807054,0.481832156,0.755742504,,,0.154773651
,,,-0.256047063,-3.112909702,,,-1.207196532,-0.071490423,-0.890189733,,,0.152247584,0.266073642,-0.882335224,,,0.249807054
,,,-0.012783306,4.003099435,,,1.292734045,-0.256047063,-3.112909702,,,-1.207196532,-0.071490423,-0.890189733,,,0.152247584
,,,0.401385356,2.253124611,,,-0.051313728,-0.012783306,4.003099435,,,1.292734045,-0.256047063,-3.112909702,,,-1.207196532
,,,0.729543428,0.862305498,,,0.328332727,0.401385356,2.253124611,,,-0.051313728,-0.012783306,4.003099435,,,1.292734045
,,,0.714775417,-0.862305498,,,0.083334916,0.729543428,0.862305498,,,0.328332727,0.401385356,2.253124611,,,-0.051313728
,,,0.489369428,1.4739115,,,0.20425539,0.714775417,-0.862305498,,,0.083334916,0.729543428,0.862305498,,,0.328332727
,,,0.185613563,-0.366332408,,,-0.079383084,0.489369428,1.4739115,,,0.20425539,0.714775417,-0.862305498,,,0.083334916
,,,-0.064204074,0.974220519,,,0.396286751,0.185613563,-0.366332408,,,-0.079383084,0.489369428,1.4739115,,,0.20425539
,,,-0.207266058,-0.120921181,,,0.111055699,-0.064204074,0.974220519,,,0.396286751,0.185613563,-0.366332408,,,-0.079383084
,,,-0.190754967,-1.343992015,,,0.154144061,-0.207266058,-0.120921181,,,0.111055699,-0.064204074,0.974220519,,,0.396286751
,,,0.038146622,-0.369950568,,,-0.165432229,-0.190754967,-1.343992015,,,0.154144061,-0.207266058,-0.120921181,,,0.111055699
,,,0.316566375,0.24678572,,,-0.156283866,0.038146622,-0.369950568,,,-0.165432229,-0.190754967,-1.343992015,,,0.154144061
,,,0.48163196,0.613857525,,,0.105471335,0.316566375,0.24678572,,,-0.156283866,0.038146622,-0.369950568,,,-0.165432229
,,,0.370471043,0,,,0.009411676,0.48163196,0.613857525,,,0.105471335,0.316566375,0.24678572,,,-0.156283866
,,,0.06833704,-0.860643245,,,-0.365824171,0.370471043,0,,,0.009411676,0.48163196,0.613857525,,,0.105471335
,,,-0.339516632,-1.492710056,,,-0.323566703,0.06833704,-0.860643245,,,-0.365824171,0.370471043,0,,,0.009411676
,,,-0.767836557,-2.409595974,,,-0.389286579,-0.339516632,-1.492710056,,,-0.323566703,0.06833704,-0.860643245,,,-0.365824171
,,,-1.072702885,-1.944271289,,,-0.331612051,-0.767836557,-2.409595974,,,-0.389286579,-0.339516632,-1.492710056,,,-0.323566703
,,,-1.110195767,-1.849306342,,,-0.589701115,-1.072702885,-1.944271289,,,-0.331612051,-0.767836557,-2.409595974,,,-0.389286579
,,,-0.736395353,-2.156454283,,,-0.964774203,-1.110195767,-1.849306342,,,-0.589701115,-1.072702885,-1.944271289,,,-0.331612051
,,,-0.17395408,-1.234111382,,,-0.53851892,-0.736395353,-2.156454283,,,-0.964774203,-1.110195767,-1.849306342,,,-0.589701115
,,,0.354475613,-1.668667209,,,-0.531635441,-0.17395408,-1.234111382,,,-0.53851892,-0.736395353,-2.156454283,,,-0.964774203
,,,0.62624129,0.976640741,,,-0.221696955,0.354475613,-1.668667209,,,-0.531635441,-0.17395408,-1.234111382,,,-0.53851892
,,,0.732645333,2.605007194,,,0,0.62624129,0.976640741,,,-0.221696955,0.354475613,-1.668667209,,,-0.531635441
,,,0.764990127,1.477584939,,,0.245211151,0.732645333,2.605007194,,,0,0.62624129,0.976640741,,,-0.221696955
,,,0.814578055,1.980204375,,,0.379380931,0.764990127,1.477584939,,,0.245211151,0.732645333,2.605007194,,,0
,,,0.84463411,0.911037916,,,0.531445006,0.814578055,1.980204375,,,0.379380931,0.764990127,1.477584939,,,0.245211151
,,,0.818383284,1.158929176,,,-0.040780263,0.84463411,0.911037916,,,0.531445006,0.814578055,1.980204375,,,0.379380931
,,,0.699050568,2.902142369,,,0.88757121,0.818383284,1.158929176,,,-0.040780263,0.84463411,0.911037916,,,0.531445006
