x_t,x_t-1,x_t-2,GDP_M,INDPRO,RPIX,RMTS,PAYEMS,GDP_M_t-1,INDPRO_t-1,RPIX_t-1,RMTS_t-1,PAYEMS_t-1,GDP_M_t-2,INDPRO_t-2,RPIX_t-2,RMTS_-2,PAYEMS_t-2
0,0,0,-0.119755241,-0.075674899,0.96763766,0.793131142,0.174182798,0.028536149,0.796355218,0.88333257,0.432253783,0.241913994,0.383533975,0.532417731,0.791560861,0.515549695,0.221757654
0,0,0,0.188413576,0.34433893,0.454949852,-1.815849511,0.083927187,-0.119755241,-0.075674899,0.96763766,0.793131142,0.174182798,0.028536149,0.796355218,0.88333257,0.432253783,0.241913994
0,0,0,0.628244371,0.39008251,0.324977304,1.175392671,0.367685256,0.188413576,0.34433893,0.454949852,-1.815849511,0.083927187,-0.119755241,-0.075674899,0.96763766,0.793131142,0.174182798
0,0,0,0.874938912,0.631020736,0.485000604,0.827587311,0.211775233,0.628244371,0.39008251,0.324977304,1.175392671,0.367685256,0.188413576,0.34433893,0.454949852,-1.815849511,0.083927187
0,0,0,0.603698969,0.289654439,0.079947496,-0.532131696,0.168189503,0.874938912,0.631020736,0.485000604,0.827587311,0.211775233,0.628244371,0.39008251,0.324977304,1.175392671,0.367685256
0,0,0,0.137584556,0.072175181,0.478347369,0.658897302,-0.032555164,0.603698969,0.289654439,0.079947496,-0.532131696,0.168189503,0.874938912,0.631020736,0.485000604,0.827587311,0.211775233
0,0,0,-0.200344314,-0.177034911,0.587413455,-0.63215769,0.125619601,0.137584556,0.072175181,0.478347369,0.658897302,-0.032555164,0.603698969,0.289654439,0.079947496,-0.532131696,0.168189503
0,0,0,-0.087027626,-0.265655399,0.525737973,0.03470392,0.004537514,-0.200344314,-0.177034911,0.587413455,-0.63215769,0.125619601,0.137584556,0.072175181,0.478347369,0.658897302,-0.032555164
0,0,0,0.201863477,0.422150964,0.098026378,1.073138306,0.078617545,-0.087027626,-0.265655399,0.525737973,0.03470392,0.004537514,-0.200344314,-0.177034911,0.587413455,-0.63215769,0.125619601
0,0,0,0.390657856,-0.369244052,0.283831035,-0.766018221,0.010578412,0.201863477,0.422150964,0.098026378,1.073138306,0.078617545,-0.087027626,-0.265655399,0.525737973,0.03470392,0.004537514
