x,x_t-1,x_t-2,y1,y2,y3,y4,y5,y1-1,y2-1,y3-1,y4-1,y5-1,y1-2,y2-2,y3-2,y4-2,y5-2
0.0337,-0.00683,0,0.000584061,-0.11,0.94196,-0.109,0.0881478,0.001576388,-0.14,0.14425,0.1403,0.100258398,0,-0.11,0,0,0
0.06693,0.0337,-0.00683,0.0042,-0.08,1.20009,0.0246,0.00352518,0.000584061,-0.11,0.94196,-0.109,0.0881478,0.001576388,-0.14,0.14425,0.1403,0.100258398
0.04967,0.06693,0.0337,0.000799642,-0.08,0.30965,-0.0083,-0.055416159,0.0042,-0.08,1.20009,0.0246,0.00352518,0.000584061,-0.11,0.94196,-0.109,0.0881478
0.0438,0.04967,0.06693,-0.000266384,-0.06,0.44413,-0.017,0.037568306,0.000799642,-0.08,0.30965,-0.0083,-0.055416159,0.0042,-0.08,1.20009,0.0246,0.00352518
0.03424,0.0438,0.04967,-0.001200754,-0.03,-0.21513,-0.0221,-0.069563309,-0.000266384,-0.06,0.44413,-0.017,0.037568306,0.000799642,-0.08,0.30965,-0.0083,-0.055416159
0.04169,0.03424,0.0438,0.001333966,-0.05,0.1437,0.0008,0.031367925,-0.001200754,-0.03,-0.21513,-0.0221,-0.069563309,-0.000266384,-0.06,0.44413,-0.017,0.037568306
0.07104,0.04169,0.03424,0.002125859,-0.06,-0.29457,0.0532,-0.064715298,0.001333966,-0.05,0.1437,0.0008,0.031367925,-0.001200754,-0.03,-0.21513,-0.0221,-0.069563309
0.1477,0.07104,0.04169,0.000662203,-0.03,-0.97548,0.045,0.047595762,0.002125859,-0.06,-0.29457,0.0532,-0.064715298,0.001333966,-0.05,0.1437,0.0008,0.031367925
0.2478,0.1477,0.07104,0.00368979,-0.03,-0.08169,0.0149,0.005290182,0.000662203,-0.03,-0.97548,0.045,0.047595762,0.002125859,-0.06,-0.29457,0.0532,-0.064715298
0.3535,0.2478,0.1477,0.001441027,-0.06,-0.15812,-0.0332,0.016793066,0.00368979,-0.03,-0.08169,0.0149,0.005290182,0.000662203,-0.03,-0.97548,0.045,0.047595762
0.4739,0.3535,0.2478,0.001653463,-0.04,0.30336,0.0209,0.096734911,0.001441027,-0.06,-0.15812,-0.0332,0.016793066,0.00368979,-0.03,-0.08169,0.0149,0.005290182
0.4052,0.4739,0.3535,0.001733713,0,0.20866,0.0905,0.110201249,0.001653463,-0.04,0.30336,0.0209,0.096734911,0.001441027,-0.06,-0.15812,-0.0332,0.016793066
0.4186,0.4052,0.4739,0.000864268,0,0.87799,0.0411,-0.014189274,0.001733713,0,0.20866,0.0905,0.110201249,0.001653463,-0.04,0.30336,0.0209,0.096734911
0.4058,0.4186,0.4052,0.005149797,0.04,0.18323,-0.0752,0.022129225,0.000864268,0,0.87799,0.0411,-0.014189274,0.001733713,0,0.20866,0.0905,0.110201249
0.3362,0.4058,0.4186,0.000426406,0.06,0.96305,0.051,0.062096774,0.005149797,0.04,0.18323,-0.0752,0.022129225,0.000864268,0,0.87799,0.0411,-0.014189274
0.1959,0.3362,0.4058,0,0.1,-0.06816,0.0829,0.041177501,0.000426406,0.06,0.96305,0.051,0.062096774,0.005149797,0.04,0.18323,-0.0752,0.022129225
0.0163,0.1959,0.3362,-0.000426406,0.09,-0.31188,-0.1123,0.039212386,0,0.1,-0.06816,0.0829,0.041177501,0.000426406,0.06,0.96305,0.051,0.062096774
-0.1399,0.0163,0.1959,0.001277964,0.08,-0.85174,0.1305,-0.050040486,-0.000426406,0.09,-0.31188,-0.1123,0.039212386,0,0.1,-0.06816,0.0829,0.041177501
-0.253,-0.1399,0.0163,0.001274215,0.05,-0.09632,-0.0668,0.053358336,0.001277964,0.08,-0.85174,0.1305,-0.050040486,-0.000426406,0.09,-0.31188,-0.1123,0.039212386
-0.3358,-0.253,-0.1399,0.002115418,0.08,0.16832,-0.0242,-0.265846685,0.001274215,0.05,-0.09632,-0.0668,0.053358336,0.001277964,0.08,-0.85174,0.1305,-0.050040486
-0.3548,-0.3358,-0.253,0.002105164,0.05,1.02919,0.125,-0.080828863,0.002115418,0.08,0.16832,-0.0242,-0.265846685,0.001274215,0.05,-0.09632,-0.0668,0.053358336
-0.3213,-0.3548,-0.3358,-0.000420217,0.03,1.02568,-0.0531,0.097849548,0.002105164,0.05,1.02919,0.125,-0.080828863,0.002115418,0.08,0.16832,-0.0242,-0.265846685
-0.2496,-0.3213,-0.3548,0,0.07,-0.91408,-0.0795,0.045437996,-0.000420217,0.03,1.02568,-0.0531,0.097849548,0.002105164,0.05,1.02919,0.125,-0.080828863
-0.1643,-0.2496,-0.3213,0.001678435,0.03,-0.40104,0.051,-0.004318451,0,0.07,-0.91408,-0.0795,0.045437996,-0.000420217,0.03,1.02568,-0.0531,0.097849548
-0.0731,-0.1643,-0.2496,0.001671973,0.05,0.37491,0.0012,-0.029940539,0.001678435,0.03,-0.40104,0.051,-0.004318451,0,0.07,-0.91408,-0.0795,0.045437996
0.0087,-0.0731,-0.1643,0.007034938,0.05,0.53878,-0.0652,0.040527872,0.001671973,0.05,0.37491,0.0012,-0.029940539,0.001678435,0.03,-0.40104,0.051,-0.004318451
0.0406,0.0087,-0.0731,0.001638849,0.08,0.3075,0.0404,-0.01067295,0.007034938,0.05,0.53878,-0.0652,0.040527872,0.001671973,0.05,0.37491,0.0012,-0.029940539
0.005,0.0406,0.0087,0.001632688,0.09,-0.90838,-0.0172,0.039019264,0.001638849,0.08,0.3075,0.0404,-0.01067295,0.007034938,0.05,0.53878,-0.0652,0.040527872
-0.0489,0.005,0.0406,0.000407215,0.07,-1.59852,-0.0026,0.003708198,0.001632688,0.09,-0.90838,-0.0172,0.039019264,0.001638849,0.08,0.3075,0.0404,-0.01067295
-0.1042,-0.0489,0.005,0.004857025,0.02,-0.87063,0.0403,-0.053267952,0.000407215,0.07,-1.59852,-0.0026,0.003708198,0.001632688,0.09,-0.90838,-0.0172,0.039019264
-0.1554,-0.1042,-0.0489,0.002007838,-0.02,-0.74605,-0.0068,0.047608912,0.004857025,0.02,-0.87063,0.0403,-0.053267952,0.000407215,0.07,-1.59852,-0.0026,0.003708198
-0.1702,-0.1554,-0.1042,0.004384837,-0.05,0.14644,-0.0434,0.017067389,0.002007838,-0.02,-0.74605,-0.0068,0.047608912,0.004857025,0.02,-0.87063,0.0403,-0.053267952
-0.1318,-0.1702,-0.1554,0.001978566,-0.03,-0.27428,0.0252,-0.029100353,0.004384837,-0.05,0.14644,-0.0434,0.017067389,0.002007838,-0.02,-0.74605,-0.0068,0.047608912
-0.0829,-0.1318,-0.1702,0.001182827,-0.12,-0.83949,0.0169,-0.001851852,0.001978566,-0.03,-0.27428,0.0252,-0.029100353,0.004384837,-0.05,0.14644,-0.0434,0.017067389
